
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.6022223860025406, Train Iou: 0.9485005488505746, Validation IOU: 0.7255274514419492
Model saved
Epoch 2, Train Loss: 0.4661204949021339, Train Iou: 0.822261917530887, Validation IOU: 0.7111564604641785
Model saved
Epoch 3, Train Loss: 0.39863590747117994, Train Iou: 0.6924740599591814, Validation IOU: 0.6528179769443379
Model saved
Epoch 4, Train Loss: 0.35354713052511216, Train Iou: 0.607326111703372, Validation IOU: 0.5849012660741051
Model saved
Epoch 5, Train Loss: 0.3207251101732254, Train Iou: 0.5683692574020722, Validation IOU: 0.5627574977793595
Model saved
Epoch 6, Train Loss: 0.29477083384990693, Train Iou: 0.5517571597932109, Validation IOU: 0.5387393427315362
Model saved
Epoch 7, Train Loss: 0.2701145276427269, Train Iou: 0.5402814379524834, Validation IOU: 0.5632005056069116
Epoch 8, Train Loss: 0.24541494324803353, Train Iou: 0.5404031217362879, Validation IOU: 0.5654651469483536
Epoch 9, Train Loss: 0.2237434059381485, Train Iou: 0.5330212431537815, Validation IOU: 0.5231262841452697
Model saved
Epoch 10, Train Loss: 0.2071157567203045, Train Iou: 0.5245212264670397, Validation IOU: 0.5444017613964879
Epoch 11, Train Loss: 0.19198430925607682, Train Iou: 0.5128405290119119, Validation IOU: 0.52761769261814
Epoch 12, Train Loss: 0.1781177595257759, Train Iou: 0.4934277387961655, Validation IOU: 0.4155222695022739
Model saved
Epoch 13, Train Loss: 0.16650388166308402, Train Iou: 0.4732294235711308, Validation IOU: 0.47056065606413916
Epoch 14, Train Loss: 0.1554621808230877, Train Iou: 0.4596245634953281, Validation IOU: 0.3907909490462154
Model saved
Epoch 15, Train Loss: 0.1452401228249073, Train Iou: 0.442300016661836, Validation IOU: 0.4356295173577807
Epoch 16, Train Loss: 0.13661637529730797, Train Iou: 0.42983703164564363, Validation IOU: 0.4503133277550869
Epoch 17, Train Loss: 0.12853867039084435, Train Iou: 0.4257648211964898, Validation IOU: 0.45632670101631007
Epoch 18, Train Loss: 0.12050451189279557, Train Iou: 0.4225786625864183, Validation IOU: 0.4091223513947912
Epoch 19, Train Loss: 0.11385530941188335, Train Iou: 0.418790798871265, Validation IOU: 0.3648581336104387
Model saved
Epoch 20, Train Loss: 0.10735408440232277, Train Iou: 0.41397850053369833, Validation IOU: 0.4613066353931153
Epoch 21, Train Loss: 0.10114461556077003, Train Iou: 0.41310756843249213, Validation IOU: 0.4315584436873322
Epoch 22, Train Loss: 0.09620489031076432, Train Iou: 0.411921020852538, Validation IOU: 0.40426052396901757
Epoch 23, Train Loss: 0.09101133719086647, Train Iou: 0.41128770949971677, Validation IOU: 0.37679864756387854
Epoch 24, Train Loss: 0.08566481173038483, Train Iou: 0.4079211860065734, Validation IOU: 0.361713648470398
Model saved
Epoch 25, Train Loss: 0.08212718963623047, Train Iou: 0.4118380186318755, Validation IOU: 0.4168852723531019
Epoch 26, Train Loss: 0.07812902703881264, Train Iou: 0.4047493176134152, Validation IOU: 0.36276844153361504
Epoch 27, Train Loss: 0.07452718541026115, Train Iou: 0.4077280090087654, Validation IOU: 0.36721315458574655
Epoch 28, Train Loss: 0.07120531015098094, Train Iou: 0.40673183439954447, Validation IOU: 0.4392604871236635
Epoch 29, Train Loss: 0.0682701200246811, Train Iou: 0.4105483361385591, Validation IOU: 0.3864015793119305
Epoch 30, Train Loss: 0.06507479194551706, Train Iou: 0.40325092498660914, Validation IOU: 0.4088035081819921
Epoch 31, Train Loss: 0.06253519523888826, Train Iou: 0.4021944321702994, Validation IOU: 0.38131001035433676
Epoch 32, Train Loss: 0.06087525449693203, Train Iou: 0.403204474326676, Validation IOU: 0.44173080386436997
Epoch 33, Train Loss: 0.058176887407898906, Train Iou: 0.40304013588696186, Validation IOU: 0.4248608777357734
Epoch 34, Train Loss: 0.05602387432008982, Train Iou: 0.3981588424707784, Validation IOU: 0.4039582256995397
Epoch 35, Train Loss: 0.054397964663803575, Train Iou: 0.40207970235485213, Validation IOU: 0.4910546541830249
Epoch 36, Train Loss: 0.05316296573728323, Train Iou: 0.40440823257745545, Validation IOU: 0.44751775861198884
Epoch 37, Train Loss: 0.051552686095237735, Train Iou: 0.4026632150291717, Validation IOU: 0.38559087427164473
Epoch 38, Train Loss: 0.0498897710815072, Train Iou: 0.406198460703048, Validation IOU: 0.46037629607571917
Epoch 39, Train Loss: 0.048478996567428115, Train Iou: 0.3987999789418499, Validation IOU: 0.39714012721209335
Epoch 40, Train Loss: 0.047172857262194154, Train Iou: 0.39896803004092857, Validation IOU: 0.4800456505554186
Epoch 41, Train Loss: 0.04517060779035091, Train Iou: 0.3971700060171265, Validation IOU: 0.4693896278070523
Epoch 42, Train Loss: 0.043934795632958414, Train Iou: 0.3967248584317804, Validation IOU: 0.40746416105654076
Epoch 43, Train Loss: 0.04286307487636805, Train Iou: 0.39460093915336825, Validation IOU: 0.38641312118469506
Epoch 44, Train Loss: 0.041768749803304674, Train Iou: 0.39074470981846915, Validation IOU: 0.4215303025915063
Epoch 45, Train Loss: 0.040979697927832605, Train Iou: 0.3906644039557857, Validation IOU: 0.4127611103042964
Epoch 46, Train Loss: 0.03999237269163132, Train Iou: 0.3913814610657984, Validation IOU: 0.4145027604820467
Epoch 47, Train Loss: 0.038719435781240465, Train Iou: 0.38970001380585095, Validation IOU: 0.40942081802578845
Epoch 48, Train Loss: 0.038168815150856975, Train Iou: 0.3906406127010041, Validation IOU: 0.36695474486006474
Epoch 49, Train Loss: 0.037259718775749205, Train Iou: 0.3910655492426847, Validation IOU: 0.4355234245453505
Epoch 50, Train Loss: 0.03672987557947636, Train Iou: 0.39165049529577944, Validation IOU: 0.38622957162553473
Epoch 51, Train Loss: 0.03585029616951942, Train Iou: 0.3865146134144292, Validation IOU: 0.40217975989521126
