
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.5924581825733185, Train Iou: 0.8729603062065421, Validation IOU: 0.6573528330664585
Model saved
Epoch 2, Train Loss: 0.4856871083378792, Train Iou: 0.7252272974235633, Validation IOU: 0.6226160172618311
Model saved
Epoch 3, Train Loss: 0.42477777749300005, Train Iou: 0.6465888831534288, Validation IOU: 0.5424079581204475
Model saved
Epoch 4, Train Loss: 0.3818709924817085, Train Iou: 0.5160149322708428, Validation IOU: 0.4581064445135925
Model saved
Epoch 5, Train Loss: 0.3447726845741272, Train Iou: 0.4652017444384244, Validation IOU: 0.4049085134678313
Model saved
Epoch 6, Train Loss: 0.3157042995095253, Train Iou: 0.44022990377366933, Validation IOU: 0.4883892683063069
Epoch 7, Train Loss: 0.2817108675837517, Train Iou: 0.4166186850577123, Validation IOU: 0.3706135303087059
Model saved
Epoch 8, Train Loss: 0.2590807653963566, Train Iou: 0.40202479035273325, Validation IOU: 0.4592008313812006
Epoch 9, Train Loss: 0.23459180146455766, Train Iou: 0.3965926742570557, Validation IOU: 0.42471528347902254
Epoch 10, Train Loss: 0.2158692017197609, Train Iou: 0.387061997528107, Validation IOU: 0.42293362390861106
Epoch 11, Train Loss: 0.19831450805068015, Train Iou: 0.3741444947548928, Validation IOU: 0.45598549909655306
Epoch 12, Train Loss: 0.18173760697245597, Train Iou: 0.3668521694602778, Validation IOU: 0.41736704670657604
Epoch 13, Train Loss: 0.1680602878332138, Train Iou: 0.3611557365542707, Validation IOU: 0.4532358913718051
Epoch 14, Train Loss: 0.15632996335625648, Train Iou: 0.35355372001673735, Validation IOU: 0.42394887042572477
Epoch 15, Train Loss: 0.14534640014171601, Train Iou: 0.35366134470307686, Validation IOU: 0.4426152112023629
Epoch 16, Train Loss: 0.13553579524159431, Train Iou: 0.35537731069042616, Validation IOU: 0.37716230038557175
Epoch 17, Train Loss: 0.126328020170331, Train Iou: 0.3535010661216989, Validation IOU: 0.3710247202420634
Epoch 18, Train Loss: 0.11873116232454776, Train Iou: 0.3470351896038325, Validation IOU: 0.41923437432889293
Epoch 19, Train Loss: 0.11128076650202275, Train Iou: 0.34695171402933805, Validation IOU: 0.4045805892245159
Epoch 20, Train Loss: 0.10546605736017227, Train Iou: 0.3421039512906359, Validation IOU: 0.34088141789273
Model saved
Epoch 21, Train Loss: 0.09865852408111095, Train Iou: 0.3459610069783435, Validation IOU: 0.36670027651102155
Epoch 22, Train Loss: 0.093640898168087, Train Iou: 0.34378321787239374, Validation IOU: 0.3629081268659107
Epoch 23, Train Loss: 0.0893249686807394, Train Iou: 0.3440466760014155, Validation IOU: 0.372188906412864
Epoch 24, Train Loss: 0.08427293412387371, Train Iou: 0.33642095069342537, Validation IOU: 0.3710162474013491
Epoch 25, Train Loss: 0.07971968241035939, Train Iou: 0.3381969285387135, Validation IOU: 0.47934871578503924
Epoch 26, Train Loss: 0.07664227224886418, Train Iou: 0.3356876085381034, Validation IOU: 0.38599744255264257
Epoch 27, Train Loss: 0.07350341565907001, Train Iou: 0.34292775949049376, Validation IOU: 0.3544007034339517
Epoch 28, Train Loss: 0.07023615911602973, Train Iou: 0.3361665096287229, Validation IOU: 0.35774963581215885
Epoch 29, Train Loss: 0.06641166899353265, Train Iou: 0.33747870614060205, Validation IOU: 0.34207349090536004
