
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.704952746629715, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.9701305372095261, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.9695978183150868
Model saved
Epoch 2, Train Loss: 0.4538804888725281, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.7845974102117561, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.8665909235562781
Epoch 3, Train Loss: 0.3459456980228424, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6662698222036088, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7442487947129129
Epoch 4, Train Loss: 0.2851297453045845, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.630042767002363, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7238782782953047
Epoch 5, Train Loss: 0.2462049163877964, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6211424104900106, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7409133315755556
Epoch 6, Train Loss: 0.2176958777010441, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6184446763043232, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.728522732469258
Epoch 7, Train Loss: 0.19453435093164445, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6132841301402221, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.732777292650969
Epoch 8, Train Loss: 0.17498651891946793, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6077774578793055, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7188169338415535
Epoch 9, Train Loss: 0.15863015577197076, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6023695357202743, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6695838197126512
Epoch 10, Train Loss: 0.14439109563827515, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5939478218055269, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.8009609727405608
Epoch 11, Train Loss: 0.13196741975843906, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5883536285001298, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.8659186751283307
Epoch 12, Train Loss: 0.12076149322092533, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5753201263557586, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7673093458849176
Epoch 13, Train Loss: 0.11022772639989853, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5396150170626612, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7611114274593191
Epoch 14, Train Loss: 0.10120313465595246, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4931861963170657, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.737602490896828
Epoch 15, Train Loss: 0.09335503168404102, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.462065131377621, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6330966041149226
Epoch 16, Train Loss: 0.08646626025438309, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4301333141592944, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5882497778336429
Epoch 17, Train Loss: 0.08025445118546486, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.39896582419123094, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.562508429353336
Epoch 18, Train Loss: 0.07446459420025349, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3662427934145562, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6020544835649323
Epoch 19, Train Loss: 0.06908844485878944, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.33647249511853716, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6163692658242629
Epoch 20, Train Loss: 0.06360786855220794, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3080956720490894, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.719815817396086
Epoch 21, Train Loss: 0.05844634566456079, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2988636998896654, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.49433856934026077
Epoch 22, Train Loss: 0.05406120792031288, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2921031688398558, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5095190978928114
Epoch 23, Train Loss: 0.05022699851542711, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27976999894749943, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5154423336732472
Epoch 24, Train Loss: 0.04677538760006428, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.26565673418096547, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5428336525511158
Epoch 25, Train Loss: 0.04370094407349825, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2565550864237109, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5646094311661789
Epoch 26, Train Loss: 0.041187070310115814, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2543960034616447, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45169976403988893
Epoch 27, Train Loss: 0.03860390204936266, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2418981445768234, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5315448249470747
Epoch 28, Train Loss: 0.036504007317125796, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.23714017779902355, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5331528461511061
Epoch 29, Train Loss: 0.034444354474544525, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.22700574237502674, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4749155906540829
Epoch 30, Train Loss: 0.032608683407306674, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.22226123610839732, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5485636338104185
Epoch 31, Train Loss: 0.03094135634601116, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.21780680266844743, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.417494129918989
Epoch 32, Train Loss: 0.029366379231214525, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.20979741138031124, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4558149960924835
Epoch 33, Train Loss: 0.02786149736493826, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19998591834108462, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5382668391631795
Epoch 34, Train Loss: 0.0264654622413218, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19033549705642355, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5495175183680729
Epoch 35, Train Loss: 0.025338796246796847, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19117186077232295, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5611467667934948
Epoch 36, Train Loss: 0.02425743853673339, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.18824255455693922, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5336811580741546
Epoch 37, Train Loss: 0.02319399602711201, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1828228993542188, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5355930831307398
Epoch 38, Train Loss: 0.02224705312401056, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.18115451140172384, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5192824581311841
