
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.7003009468317032, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.9788790219996969, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.9629831515718457
Model saved
Epoch 2, Train Loss: 0.46733229905366896, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.8218390055470867, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.867819745123908
Model saved
Epoch 3, Train Loss: 0.35629464536905286, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6569513442723467, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.8724671181283354
Epoch 4, Train Loss: 0.2888750821352005, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6142029758800607, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7742700923007382
Model saved
Epoch 5, Train Loss: 0.24169356375932693, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6063377141051013, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7618992119041781
Model saved
Epoch 6, Train Loss: 0.20519174858927727, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6019781873394277, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7092918190709119
Model saved
Epoch 7, Train Loss: 0.17724303975701333, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6012252710338606, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6452295836350899
Model saved
Epoch 8, Train Loss: 0.1550254411995411, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5889512244259724, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7136462186206184
Epoch 9, Train Loss: 0.13715411573648453, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5743775070082533, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7124904133776155
Epoch 10, Train Loss: 0.12218934334814549, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5517787589703103, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.695393669740366
