
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.5058337450027466, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.9226714480943581, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.9250182601793394
Model saved
Epoch 2, Train Loss: 0.27721123546361925, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6790159019525526, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.8569504310493948
Model saved
Epoch 3, Train Loss: 0.19620252028107643, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5925791260696073, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7344977581683803
Model saved
Epoch 4, Train Loss: 0.15823802277445792, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5562291025119385, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7515252892693789
Epoch 5, Train Loss: 0.1347747676074505, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4870703344123684, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.641215275194476
Model saved
Epoch 6, Train Loss: 0.11754127666354179, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4356795484826185, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5888671097645889
Model saved
Epoch 7, Train Loss: 0.10440581552684307, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4033823691137723, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6361440361090478
Epoch 8, Train Loss: 0.09388702400028706, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3836565415835013, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4657068675506814
Model saved
Epoch 9, Train Loss: 0.08430070206522941, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3592303106350728, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5634487325071165
Epoch 10, Train Loss: 0.07697064839303494, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3432285901797869, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5285417139823161
Epoch 11, Train Loss: 0.07025046013295651, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.33255209600581165, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5784406429277607
Epoch 12, Train Loss: 0.06443937718868256, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3188842018509257, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4453793638050458
Model saved
Epoch 13, Train Loss: 0.05976702980697155, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.30970440535007965, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5579516195377839
Epoch 14, Train Loss: 0.05548266097903252, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29976263731877617, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6088233322179254
Epoch 15, Train Loss: 0.05194373819977045, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2960484045636596, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42941186260151776
Model saved
Epoch 16, Train Loss: 0.048676535859704016, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2857378440353083, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.599064257197039
Epoch 17, Train Loss: 0.045955929160118106, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28399498513062227, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45280264083500543
Epoch 18, Train Loss: 0.04308782070875168, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2734714616371368, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4174132217874035
Model saved
Epoch 19, Train Loss: 0.04075216948986053, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.26539100755988876, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5531145884197795
Epoch 20, Train Loss: 0.03879516813904047, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2626940173853639, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3983242291454069
Model saved
Epoch 21, Train Loss: 0.03650674652308226, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2512741906745029, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5770374618004847
Epoch 22, Train Loss: 0.03471008017659187, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2459865472888995, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45841672057149885
Epoch 23, Train Loss: 0.03321619005873799, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.24151492191688656, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4586703146532682
Epoch 24, Train Loss: 0.031425643060356376, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2299475043866242, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5659201648102631
Epoch 25, Train Loss: 0.030086788162589074, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.22731626408500832, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4372324849805082
Epoch 26, Train Loss: 0.028762175235897303, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.22504214728410427, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45468599948560195
Epoch 27, Train Loss: 0.027509682066738605, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.21814628494468727, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5832569866569886
Epoch 28, Train Loss: 0.02627833290025592, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.21129996904324316, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.47221238040981006
Epoch 29, Train Loss: 0.02500526262447238, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.20367041448085402, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45242684895895185
Epoch 30, Train Loss: 0.024124954547733068, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2032740609997436, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4816067304028475
Epoch 31, Train Loss: 0.023120731208473445, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.19713193961446054, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5215214437400781
Epoch 32, Train Loss: 0.021958154067397116, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.18525698585125258, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5480464567358023
Epoch 33, Train Loss: 0.021123898774385454, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.18032813481952997, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4842483986849498
Epoch 34, Train Loss: 0.020440584421157836, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17853402723024736, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4166462802679577
Epoch 35, Train Loss: 0.019610151834785938, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17433079875867066, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6098467988346259
Epoch 36, Train Loss: 0.01883611436933279, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.16841688274055988, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5784797030573567
Epoch 37, Train Loss: 0.018407794646918774, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.17108967944873393, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6072717390173621
Epoch 38, Train Loss: 0.01790580218657851, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1712809816578794, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.49931389086003475
Epoch 39, Train Loss: 0.01714565437287092, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.16264390442515722, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4258121821437318
Epoch 40, Train Loss: 0.01655928837135434, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1575653299085017, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.475292279225269
Epoch 41, Train Loss: 0.016037801280617714, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.15574383877678905, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5317745913727886
Epoch 42, Train Loss: 0.015339458640664817, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1488810575927193, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6191517466241546
Epoch 43, Train Loss: 0.014898774912580848, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14460065056671725, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4447798437447252
Epoch 44, Train Loss: 0.014288370264694095, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1381357399766051, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4383693489878596
Epoch 45, Train Loss: 0.013990496937185525, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13906093552926946, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6139905720039598
Epoch 46, Train Loss: 0.013720606733113528, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.14228641454939692, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4699195967217806
