
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.3083846285939217, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.8215440004720284, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7176160204262615
Model saved
Epoch 2, Train Loss: 0.1783699207007885, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6212192796859023, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6920226360191125
Model saved
Epoch 3, Train Loss: 0.13516345880925656, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5727139355786697, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.48834947401760603
Model saved
Epoch 4, Train Loss: 0.1105410821735859, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5176959122742987, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5750725427155385
Epoch 5, Train Loss: 0.09351709820330142, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4793587932375554, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4806908967661424
Model saved
Epoch 6, Train Loss: 0.0813837144523859, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4488024705874431, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5968308565653333
Epoch 7, Train Loss: 0.07185819819569587, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4256864313921599, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5015803884756738
Epoch 8, Train Loss: 0.06374123692512512, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4205604721640156, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44858696404617177
Model saved
Epoch 9, Train Loss: 0.05722157619893551, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4050217023010278, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4263971637328623
Model saved
Epoch 10, Train Loss: 0.052192059345543385, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.39750089806126077, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3722959400320116
Model saved
Epoch 11, Train Loss: 0.04786245338618755, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.39122601016516595, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5682745316322694
Epoch 12, Train Loss: 0.044078008458018306, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3795869057524759, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4401383573618846
Epoch 13, Train Loss: 0.04109779968857765, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.37877940906616275, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4237634988991189
Epoch 14, Train Loss: 0.03839608766138554, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3686638023148107, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.36744816954708837
Model saved
Epoch 15, Train Loss: 0.03645206708461046, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3690798066562767, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5482702181529551
Epoch 16, Train Loss: 0.03444457734003663, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3672374004152582, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3469002318780391
Model saved
Epoch 17, Train Loss: 0.03260158291086555, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.36228433979944497, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5474513086408271
Epoch 18, Train Loss: 0.03108329325914383, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.35919984588069814, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3842278371346535
Epoch 19, Train Loss: 0.029634142853319646, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.35436303210066067, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4323065174424266
Epoch 20, Train Loss: 0.028531545773148537, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.35734986735656654, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45040392527840684
Epoch 21, Train Loss: 0.02733637485653162, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3525087432611532, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4290016869076005
Epoch 22, Train Loss: 0.02627061102539301, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.35047027235239253, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5329199893428582
Epoch 23, Train Loss: 0.025490035209804772, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.34924011282650635, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4075750692521519
Epoch 24, Train Loss: 0.024508738331496714, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.34651144285716645, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.32941884314545494
Model saved
Epoch 25, Train Loss: 0.0237648650072515, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3438878419353384, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42946277630074003
Epoch 26, Train Loss: 0.02307690689340234, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.34227445619625785, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3593388637606534
Epoch 27, Train Loss: 0.02220310056582093, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3378342295259722, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4036992063356171
Epoch 28, Train Loss: 0.02194302510470152, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3393606184857231, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42754513292632806
