
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.16235443313295642, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6916694809174242, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7518106837246271
Model saved
Epoch 2, Train Loss: 0.028941444328261748, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5594244204984437, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7221695088041216
Model saved
Epoch 3, Train Loss: 0.019516366508065, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4620376152251976, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.8407321154759999
Epoch 4, Train Loss: 0.01722597808111459, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4447610760304444, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.9869480301541372
Epoch 5, Train Loss: 0.016238626467788383, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4360586977884165, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6177168856545368
Model saved
Epoch 6, Train Loss: 0.0130235341623322, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.37784401579744187, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6399980531258626
Epoch 7, Train Loss: 0.011625453668077372, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3570351910976722, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5606052260832495
Model saved
Epoch 8, Train Loss: 0.01075259041843108, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3442737056528753, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5633489782930955
Epoch 9, Train Loss: 0.010322290362738486, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3361819248049218, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6276326701052344
Epoch 10, Train Loss: 0.018524897103715274, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.483869593401806, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.9131107466945356
Epoch 11, Train Loss: 0.014015255114322321, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.40633519029910087, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7389402751203069
Epoch 12, Train Loss: 0.012046621588524431, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3695237120456807, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7012861486080268
Epoch 13, Train Loss: 0.011187891437051197, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3594547127196718, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.918047992676962
Epoch 14, Train Loss: 0.010510428517591208, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.349392363379031, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6947982883438342
Epoch 15, Train Loss: 0.00994448303633059, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.33737218958616566, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7181384539659623
Epoch 16, Train Loss: 0.009755657804715965, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3341341786230026, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5919822118638547
Epoch 17, Train Loss: 0.009272263068447096, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.32582132807365144, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7106131707794134
Epoch 18, Train Loss: 0.009682736915743185, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3332899048106655, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6010177604858388
Epoch 19, Train Loss: 0.009177673439909186, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3254787601451089, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6559261747089136
Epoch 20, Train Loss: 0.009171551837223686, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.32117651835511085, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5917326534446741
Epoch 21, Train Loss: 0.008914474197404666, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.31795090344762617, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5617466080892165
Epoch 22, Train Loss: 0.008697005635541346, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3119937907699711, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5337738485968446
Model saved
Epoch 23, Train Loss: 0.008534362662531849, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3083109297791059, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6351550976202525
