
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.07602347451676097, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6091749926718373, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7107084804276185
Model saved
Epoch 2, Train Loss: 0.027288267414809927, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4592317255818999, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.9851575480273846
Epoch 3, Train Loss: 0.02216775540728122, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.4099943871576345, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5749482878766923
Model saved
Epoch 4, Train Loss: 0.018647469994094636, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.377739172253017, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5494029101004047
Model saved
Epoch 5, Train Loss: 0.016351098673314683, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.35342651232417316, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6539099320446814
Epoch 6, Train Loss: 0.016391167145532865, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3514737479667761, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6054851067735914
Epoch 7, Train Loss: 0.015631826335771218, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.34589058059800043, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.529005639699514
Model saved
Epoch 8, Train Loss: 0.014148605560573438, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.33116498470085187, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.8726048338945791
Epoch 9, Train Loss: 0.013867964515359037, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.33049855922473215, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.8983583510897837
