
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.12418272819680472, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.6579784437633589, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.7758929421956399
Model saved
Epoch 2, Train Loss: 0.022810037131421268, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.5236478546821985, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6416362474519774
Model saved
Epoch 3, Train Loss: 0.01723180478438735, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.444492275705666, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6845493107661508
Epoch 4, Train Loss: 0.014232323181608485, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.39131460376734856, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5339058580089945
Model saved
Epoch 5, Train Loss: 0.012609605140621878, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3671763550293801, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.530172441969315
Model saved
Epoch 6, Train Loss: 0.011119907547254115, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.34239806938438966, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5454617996331743
Epoch 7, Train Loss: 0.010462822761231413, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3355825810097309, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5228842409046924
Model saved
Epoch 8, Train Loss: 0.00988167269517564, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3281966741084303, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6455115852083572
Epoch 9, Train Loss: 0.009494208892445184, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3224974833756592, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5458118294102383
Epoch 10, Train Loss: 0.009438814925185094, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3231238618719177, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.49834333503945355
Model saved
Epoch 11, Train Loss: 0.008885227816386355, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3143194826813088, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5285367413314075
Epoch 12, Train Loss: 0.008485295551104678, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3059242360831859, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5931056071474496
Epoch 13, Train Loss: 0.008385717196183072, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3037839989530917, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5727422310065121
Epoch 14, Train Loss: 0.008222823264077306, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29962714201039586, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4909902533015365
Model saved
Epoch 15, Train Loss: 0.00803902852607684, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2951462350790486, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5128474397625399
Epoch 16, Train Loss: 0.007993628115703663, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29518925514209227, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.46557075689689
Model saved
