
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 1, Train Loss: 0.9057450079255633, Validation Loss: 0.9111664220690727, Validation IOU: 0.6940699035050066
Epoch 2, Train Loss: 0.8098397076957755, Validation Loss: 1.061280757188797, Validation IOU: 0.8117706604055321
Epoch 3, Train Loss: 0.7453347800506486, Validation Loss: 0.8029395043849945, Validation IOU: 0.6655414373209481
Epoch 4, Train Loss: 0.6964120811058415, Validation Loss: 0.692776508629322, Validation IOU: 0.5164166976308409
Epoch 5, Train Loss: 0.6622144430875778, Validation Loss: 0.6520220264792442, Validation IOU: 0.540187223243813
Epoch 6, Train Loss: 0.6355695600310961, Validation Loss: 0.632858470082283, Validation IOU: 0.5590001775717099
Epoch 7, Train Loss: 0.6172252930700779, Validation Loss: 0.6232246458530426, Validation IOU: 0.5084223794692573
Epoch 8, Train Loss: 0.604418809629149, Validation Loss: 0.603156141936779, Validation IOU: 0.4534624604425219
Epoch 9, Train Loss: 0.5950521677732468, Validation Loss: 0.5930561199784279, Validation IOU: 0.5059228903639128
Epoch 10, Train Loss: 0.5876942425966263, Validation Loss: 0.5877631232142448, Validation IOU: 0.47826595450968545
Epoch 11, Train Loss: 0.5820437727702988, Validation Loss: 0.5869077295064926, Validation IOU: 0.5008843464234467
Epoch 12, Train Loss: 0.5778414756059647, Validation Loss: 0.5798195824027061, Validation IOU: 0.49164356241237633
Epoch 13, Train Loss: 0.5744719240400527, Validation Loss: 0.5775257125496864, Validation IOU: 0.4576631629325995
Epoch 14, Train Loss: 0.5719430148601532, Validation Loss: 0.574235238134861, Validation IOU: 0.4299887863295914
Epoch 15, Train Loss: 0.5671242421699895, Validation Loss: 0.5703185498714447, Validation IOU: 0.35810669730031963
Epoch 16, Train Loss: 0.5650390320354037, Validation Loss: 0.5678595751523972, Validation IOU: 0.34795593394955604
Epoch 17, Train Loss: 0.5635561777485741, Validation Loss: 0.5663356557488441, Validation IOU: 0.33835755208667323
Epoch 18, Train Loss: 0.5623871344659064, Validation Loss: 0.5660163015127182, Validation IOU: 0.350435569762683
Epoch 19, Train Loss: 0.5613554877539476, Validation Loss: 0.563889242708683, Validation IOU: 0.33917917183654583
Epoch 20, Train Loss: 0.5604239284164376, Validation Loss: 0.5634087324142456, Validation IOU: 0.33165105366780157
Epoch 21, Train Loss: 0.5600477692981561, Validation Loss: 0.5641388520598412, Validation IOU: 0.3812352992197887
Epoch 22, Train Loss: 0.5591925999356641, Validation Loss: 0.5625558346509933, Validation IOU: 0.3672406584368645
Epoch 23, Train Loss: 0.5586139977806144, Validation Loss: 0.5616877675056458, Validation IOU: 0.3287933561937568
Epoch 24, Train Loss: 0.5581733625796106, Validation Loss: 0.5614006817340851, Validation IOU: 0.369203229186652
Epoch 25, Train Loss: 0.5577441395984756, Validation Loss: 0.5612956508994102, Validation IOU: 0.3636178544228343
Epoch 26, Train Loss: 0.5574033823278215, Validation Loss: 0.5608830600976944, Validation IOU: 0.35161584555937164
Epoch 27, Train Loss: 0.5570362384120623, Validation Loss: 0.5605746433138847, Validation IOU: 0.3425916340576825
