
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 1, Train Loss: 0.887814381884204, Validation Loss: 0.8533025979995728, Validation IOU: 0.6708324748807388
Model saved
Epoch 2, Train Loss: 0.7844883811970552, Validation Loss: 0.8033073768019676, Validation IOU: 0.6908197689037079
Epoch 3, Train Loss: 0.7207792889740732, Validation Loss: 0.7016931250691414, Validation IOU: 0.6595653345861896
Model saved
Epoch 4, Train Loss: 0.6764008406963613, Validation Loss: 0.659314475953579, Validation IOU: 0.6512077809956366
Model saved
Epoch 5, Train Loss: 0.6455773988531696, Validation Loss: 0.6364358514547348, Validation IOU: 0.6563923644440232
Epoch 6, Train Loss: 0.6246966723766592, Validation Loss: 0.6193897575139999, Validation IOU: 0.656226381965055
Epoch 7, Train Loss: 0.6098589152097702, Validation Loss: 0.6077635511755943, Validation IOU: 0.6588507331762425
Epoch 8, Train Loss: 0.5988051833377944, Validation Loss: 0.6004127860069275, Validation IOU: 0.6491208146221039
Model saved
Epoch 9, Train Loss: 0.590091439584891, Validation Loss: 0.5934660285711288, Validation IOU: 0.6401833208066702
Model saved
Epoch 10, Train Loss: 0.583365384903219, Validation Loss: 0.5883241444826126, Validation IOU: 0.6464199106582654
Epoch 11, Train Loss: 0.5773198248611556, Validation Loss: 0.5828516781330109, Validation IOU: 0.6448972367629304
Epoch 12, Train Loss: 0.5731849744915962, Validation Loss: 0.5784043222665787, Validation IOU: 0.6450702936710901
Epoch 13, Train Loss: 0.5700679355197482, Validation Loss: 0.5771980434656143, Validation IOU: 0.6409921959248486
Epoch 14, Train Loss: 0.5676444777184062, Validation Loss: 0.5758730620145798, Validation IOU: 0.6363526989912504
Model saved
Epoch 15, Train Loss: 0.5657815552420087, Validation Loss: 0.5738359317183495, Validation IOU: 0.6501599602645314
Epoch 16, Train Loss: 0.5642605312168598, Validation Loss: 0.5738333985209465, Validation IOU: 0.6366543818453165
Epoch 17, Train Loss: 0.5630593159132533, Validation Loss: 0.5728474780917168, Validation IOU: 0.6461677853403837
Epoch 18, Train Loss: 0.5619668604599105, Validation Loss: 0.5718545466661453, Validation IOU: 0.6498502134704178
Epoch 19, Train Loss: 0.5611100192699168, Validation Loss: 0.5710096061229706, Validation IOU: 0.634103592435387
Model saved
Epoch 20, Train Loss: 0.5603645179006789, Validation Loss: 0.5692092701792717, Validation IOU: 0.6454790281615359
Epoch 21, Train Loss: 0.5597161232597299, Validation Loss: 0.5697937235236168, Validation IOU: 0.629524096930636
Model saved
Epoch 22, Train Loss: 0.5591737834943665, Validation Loss: 0.5689818412065506, Validation IOU: 0.6493307180605079
Epoch 23, Train Loss: 0.5587231115334563, Validation Loss: 0.5683798044919968, Validation IOU: 0.6458652760625443
Epoch 24, Train Loss: 0.5583216055399842, Validation Loss: 0.5683163106441498, Validation IOU: 0.6347213374027063
Epoch 25, Train Loss: 0.5579454319344627, Validation Loss: 0.569317601621151, Validation IOU: 0.634142384247439
Epoch 26, Train Loss: 0.557649248590072, Validation Loss: 0.5687249377369881, Validation IOU: 0.6457103850232128
Epoch 27, Train Loss: 0.5573353365891509, Validation Loss: 0.5684419423341751, Validation IOU: 0.6436405544548313
Epoch 28, Train Loss: 0.5571444378130965, Validation Loss: 0.5672409981489182, Validation IOU: 0.6419496974230722
Epoch 29, Train Loss: 0.5568668035169443, Validation Loss: 0.5683260411024094, Validation IOU: 0.6402731953530392
