
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 1, Train Loss: 0.9291737257606454, Validation Loss: 0.8986409604549408, Validation IOU: 0.6178837828803744
Model saved
Epoch 2, Train Loss: 0.8216208078795009, Validation Loss: 0.8096530437469482, Validation IOU: 0.5723497747077135
Model saved
Epoch 3, Train Loss: 0.7514783057073752, Validation Loss: 0.7366785258054733, Validation IOU: 0.5981154947528766
Epoch 4, Train Loss: 0.6977542833321624, Validation Loss: 0.6961816772818565, Validation IOU: 0.5262013403432259
Model saved
Epoch 5, Train Loss: 0.6621116623282433, Validation Loss: 0.6568001955747604, Validation IOU: 0.45972894363159383
Model saved
Epoch 6, Train Loss: 0.6375302755170398, Validation Loss: 0.6500579416751862, Validation IOU: 0.47514751772614905
Epoch 7, Train Loss: 0.6199933990008302, Validation Loss: 0.6189408898353577, Validation IOU: 0.45140194638715475
Model saved
Epoch 8, Train Loss: 0.6059860359463427, Validation Loss: 0.6078128218650818, Validation IOU: 0.44078071797190843
Model saved
Epoch 9, Train Loss: 0.5957133596142133, Validation Loss: 0.5997987911105156, Validation IOU: 0.6088867256469904
Epoch 10, Train Loss: 0.5882747765216563, Validation Loss: 0.5920460447669029, Validation IOU: 0.45471462600452295
Epoch 11, Train Loss: 0.5826464870737659, Validation Loss: 0.5872754231095314, Validation IOU: 0.3934525735251422
Model saved
Epoch 12, Train Loss: 0.5783175759845309, Validation Loss: 0.5816313698887825, Validation IOU: 0.4498723289388775
Epoch 13, Train Loss: 0.5743293323450618, Validation Loss: 0.5792691260576248, Validation IOU: 0.42611031890039075
Epoch 14, Train Loss: 0.5715849532021416, Validation Loss: 0.5738798677921295, Validation IOU: 0.40102179873128
Epoch 15, Train Loss: 0.5691962502896786, Validation Loss: 0.5733767002820969, Validation IOU: 0.4152993264583523
Epoch 16, Train Loss: 0.5673309850196043, Validation Loss: 0.5712795406579971, Validation IOU: 0.4470714379728975
Epoch 17, Train Loss: 0.5657408510645231, Validation Loss: 0.5701153576374054, Validation IOU: 0.38399565859238904
Model saved
Epoch 18, Train Loss: 0.563145688838429, Validation Loss: 0.5690373778343201, Validation IOU: 0.4467533038026542
Epoch 19, Train Loss: 0.5615662493639522, Validation Loss: 0.5664622932672501, Validation IOU: 0.3424360195695127
Model saved
Epoch 20, Train Loss: 0.5606242339644167, Validation Loss: 0.5652924254536629, Validation IOU: 0.4027963182564033
Epoch 21, Train Loss: 0.5597961578104231, Validation Loss: 0.5634605959057808, Validation IOU: 0.3773136987497922
Epoch 22, Train Loss: 0.5591771503289541, Validation Loss: 0.5638569816946983, Validation IOU: 0.38706945418809735
Epoch 23, Train Loss: 0.5585581469866965, Validation Loss: 0.5639022588729858, Validation IOU: 0.3665318179582869
Epoch 24, Train Loss: 0.5581795295907391, Validation Loss: 0.5662227421998978, Validation IOU: 0.36804046557986597
Epoch 25, Train Loss: 0.5577240453826057, Validation Loss: 0.562641091644764, Validation IOU: 0.4166773145099108
Epoch 26, Train Loss: 0.5573060284886096, Validation Loss: 0.5622381716966629, Validation IOU: 0.40208072526510824
Epoch 27, Train Loss: 0.556971019340886, Validation Loss: 0.5617365539073944, Validation IOU: 0.3892182217012491
Epoch 28, Train Loss: 0.5566813171737723, Validation Loss: 0.5615615770220757, Validation IOU: 0.37442365174085174
Epoch 29, Train Loss: 0.5564220796028773, Validation Loss: 0.5613947883248329, Validation IOU: 0.42582379862388325
Epoch 30, Train Loss: 0.5562411405973964, Validation Loss: 0.5615267679095268, Validation IOU: 0.43008467406805384
Epoch 31, Train Loss: 0.5559366121888161, Validation Loss: 0.5609445869922638, Validation IOU: 0.37257690675766486
Epoch 32, Train Loss: 0.5558278958002726, Validation Loss: 0.561003677546978, Validation IOU: 0.38955413730030813
Epoch 33, Train Loss: 0.5557729966110654, Validation Loss: 0.5614047199487686, Validation IOU: 0.3782135854912687
Epoch 34, Train Loss: 0.5557440705597401, Validation Loss: 0.5615861266851425, Validation IOU: 0.3970621576298616
Epoch 35, Train Loss: 0.5557027504675918, Validation Loss: 0.561249203979969, Validation IOU: 0.39248843007216655
Epoch 36, Train Loss: 0.5556530389520857, Validation Loss: 0.5601791217923164, Validation IOU: 0.3709871026421768
Epoch 37, Train Loss: 0.5556088752216763, Validation Loss: 0.5615258887410164, Validation IOU: 0.40074689276628217
Epoch 38, Train Loss: 0.5555734555754397, Validation Loss: 0.5614505931735039, Validation IOU: 0.38307894358658295
Epoch 39, Train Loss: 0.555533652090364, Validation Loss: 0.5608064383268356, Validation IOU: 0.3865732169474499
Epoch 40, Train Loss: 0.5555055302878221, Validation Loss: 0.5609944313764572, Validation IOU: 0.38515893479907615
Epoch 41, Train Loss: 0.5554531440138817, Validation Loss: 0.5605188459157944, Validation IOU: 0.3820354068916052
Epoch 42, Train Loss: 0.5553811912735304, Validation Loss: 0.5608528926968575, Validation IOU: 0.36625702342777516
Epoch 43, Train Loss: 0.5553645234968927, Validation Loss: 0.5602116137742996, Validation IOU: 0.3818176664552145
Epoch 44, Train Loss: 0.5553618479106162, Validation Loss: 0.5606410801410675, Validation IOU: 0.39733465568987897
Epoch 45, Train Loss: 0.5553578800625272, Validation Loss: 0.561142586171627, Validation IOU: 0.3776976609074302
Epoch 46, Train Loss: 0.5553595104979144, Validation Loss: 0.5607776641845703, Validation IOU: 0.4015099742188321
Epoch 47, Train Loss: 0.5553572579390473, Validation Loss: 0.5608688518404961, Validation IOU: 0.3682931703256826
Epoch 48, Train Loss: 0.5553474641508527, Validation Loss: 0.5606635212898254, Validation IOU: 0.39595217832610746
Epoch 49, Train Loss: 0.5553375548786588, Validation Loss: 0.5606494024395943, Validation IOU: 0.3948365761118894
Epoch 50, Train Loss: 0.5553326776458157, Validation Loss: 0.5605274960398674, Validation IOU: 0.39166608136157477
Epoch 51, Train Loss: 0.5553243967394034, Validation Loss: 0.5603408813476562, Validation IOU: 0.35786619999610164
Epoch 52, Train Loss: 0.5553131302197775, Validation Loss: 0.5604778006672859, Validation IOU: 0.37989633310237786
Epoch 53, Train Loss: 0.5553096305165026, Validation Loss: 0.5605023503303528, Validation IOU: 0.3681339123548959
Epoch 54, Train Loss: 0.5552953481674194, Validation Loss: 0.5610192865133286, Validation IOU: 0.40784780221092093
Epoch 55, Train Loss: 0.5553072372244464, Validation Loss: 0.5609439089894295, Validation IOU: 0.3724644044386241
Epoch 56, Train Loss: 0.5553008653223515, Validation Loss: 0.561469629406929, Validation IOU: 0.41624921309580376
Epoch 57, Train Loss: 0.5553023339145713, Validation Loss: 0.5609572157263756, Validation IOU: 0.40217146546319504
Epoch 58, Train Loss: 0.5552990660071373, Validation Loss: 0.5607119426131248, Validation IOU: 0.3990857784232289
Epoch 59, Train Loss: 0.5553064304921362, Validation Loss: 0.5611088871955872, Validation IOU: 0.3944368730276196
Epoch 60, Train Loss: 0.5553037607007556, Validation Loss: 0.5606054291129112, Validation IOU: 0.38417637812467625
Epoch 61, Train Loss: 0.5553001335097684, Validation Loss: 0.5613111853599548, Validation IOU: 0.42020906306100303
Epoch 62, Train Loss: 0.5552950654592779, Validation Loss: 0.5609673112630844, Validation IOU: 0.39281896605940286
Epoch 63, Train Loss: 0.5552948659492863, Validation Loss: 0.5610084310173988, Validation IOU: 0.39943445546592665
Epoch 64, Train Loss: 0.5553010478615761, Validation Loss: 0.560433641076088, Validation IOU: 0.373481960928691
Epoch 65, Train Loss: 0.5552984364330769, Validation Loss: 0.5605374872684479, Validation IOU: 0.37176448015061025
Epoch 66, Train Loss: 0.5552968138621913, Validation Loss: 0.5614845380187035, Validation IOU: 0.41121490943634786
Epoch 67, Train Loss: 0.555288857469956, Validation Loss: 0.5605817288160324, Validation IOU: 0.3851605551963434
Epoch 68, Train Loss: 0.555292343099912, Validation Loss: 0.5607839152216911, Validation IOU: 0.3948885043406248
Epoch 69, Train Loss: 0.5553013347089291, Validation Loss: 0.5609746128320694, Validation IOU: 0.41653293749411235
Epoch 70, Train Loss: 0.5552957881655958, Validation Loss: 0.5608319863677025, Validation IOU: 0.3850595890638312
Epoch 71, Train Loss: 0.555306114256382, Validation Loss: 0.5604798197746277, Validation IOU: 0.38060038028204934
