
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 1, Train Loss: 0.9334670537047915, Validation Loss: 0.9379100799560547, Validation IOU: 0.7043691159588292
Model saved
Epoch 2, Train Loss: 0.8321116616328558, Validation Loss: 0.8933325782418251, Validation IOU: 0.713788840722864
Epoch 3, Train Loss: 0.7675293460488319, Validation Loss: 0.7656173259019852, Validation IOU: 0.6632926224229972
Model saved
Epoch 4, Train Loss: 0.7172514498233795, Validation Loss: 0.7376290038228035, Validation IOU: 0.6747225853471426
Epoch 5, Train Loss: 0.6792186937398381, Validation Loss: 0.6719511896371841, Validation IOU: 0.6643752084962331
Epoch 6, Train Loss: 0.6492280045317279, Validation Loss: 0.6552892252802849, Validation IOU: 0.6695737995920891
Epoch 7, Train Loss: 0.6259796627693706, Validation Loss: 0.6183954626321793, Validation IOU: 0.6583971103295921
Model saved
Epoch 8, Train Loss: 0.6096154488623142, Validation Loss: 0.6094136983156204, Validation IOU: 0.6519744502223797
Model saved
Epoch 9, Train Loss: 0.5965081556803651, Validation Loss: 0.6011336669325829, Validation IOU: 0.6400362814733053
Model saved
Epoch 10, Train Loss: 0.587407387379143, Validation Loss: 0.5927746742963791, Validation IOU: 0.6440385280252746
Epoch 11, Train Loss: 0.5813380007942518, Validation Loss: 0.5933831632137299, Validation IOU: 0.6420907875224922
Epoch 12, Train Loss: 0.5768003972868124, Validation Loss: 0.5853952392935753, Validation IOU: 0.6434173739097635
Epoch 13, Train Loss: 0.5733041941291757, Validation Loss: 0.5827114880084991, Validation IOU: 0.6424055777344878
Epoch 14, Train Loss: 0.5705285059909025, Validation Loss: 0.5777502581477165, Validation IOU: 0.6479496195012224
Epoch 15, Train Loss: 0.568395983427763, Validation Loss: 0.5775786340236664, Validation IOU: 0.6419503129164842
Epoch 16, Train Loss: 0.5662268176674843, Validation Loss: 0.5740789771080017, Validation IOU: 0.6338566631113851
Model saved
