2024-01-05 09:59:57,532 INFO    MainThread:85732 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_setup.py:_flush():76] Configure stats pid to 85732
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_setup.py:_flush():76] Loading settings from /home/cal314-1/.config/wandb/settings
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_setup.py:_flush():76] Loading settings from /media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/wandb/settings
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Kod/train.py', 'program_abspath': '/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Kod/train.py', 'program': '/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Kod/train.py'}
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_init.py:_log_setup():524] Logging user logs to /media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/wandb/run-20240105_095957-ammyecp1/logs/debug.log
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_init.py:_log_setup():525] Logging internal logs to /media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/wandb/run-20240105_095957-ammyecp1/logs/debug-internal.log
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_init.py:init():564] calling init triggers
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'epochs': 300, 'batch_size': 6, 'lr': 0.0001, 'annotator': 1, 'augmentation': True, 'loss': 'CrossEntropyLoss', 'optimizer': 'Adam', 'scheduler': 'CosineAnnealingLR', 'place': 'lab'}
2024-01-05 09:59:57,533 INFO    MainThread:85732 [wandb_init.py:init():614] starting backend
2024-01-05 09:59:57,534 INFO    MainThread:85732 [wandb_init.py:init():618] setting up manager
2024-01-05 09:59:57,538 INFO    MainThread:85732 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-05 09:59:57,539 INFO    MainThread:85732 [wandb_init.py:init():624] backend started and connected
2024-01-05 09:59:57,601 INFO    MainThread:85732 [wandb_init.py:init():716] updated telemetry
2024-01-05 09:59:57,608 INFO    MainThread:85732 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-01-05 09:59:58,118 INFO    MainThread:85732 [wandb_run.py:_on_init():2254] communicating current version
2024-01-05 09:59:58,356 INFO    MainThread:85732 [wandb_run.py:_on_init():2263] got version response 
2024-01-05 09:59:58,356 INFO    MainThread:85732 [wandb_init.py:init():800] starting run threads in backend
2024-01-05 10:00:00,728 INFO    MainThread:85732 [wandb_run.py:_console_start():2233] atexit reg
2024-01-05 10:00:00,729 INFO    MainThread:85732 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-05 10:00:00,729 INFO    MainThread:85732 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-05 10:00:00,729 INFO    MainThread:85732 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-05 10:00:00,729 INFO    MainThread:85732 [wandb_init.py:init():841] run started, returning control to user process
2024-01-05 10:00:47,621 INFO    MainThread:85732 [wandb_watch.py:watch():51] Watching
2024-01-05 10:05:17,601 WARNING MsgRouterThr:85732 [router.py:message_loop():77] message_loop has been closed
