
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.9933185949921608, Validation Loss: 0.8024253398180008, Validation IOU: 0.7320574855500567
Model saved
Epoch 2, Train Loss: 0.6272507061560949, Validation Loss: 0.6046972423791885, Validation IOU: 0.660234923096742
Model saved
Epoch 3, Train Loss: 0.45818068211277324, Validation Loss: 0.4899977147579193, Validation IOU: 0.654198665763452
Model saved
Epoch 4, Train Loss: 0.3241972832216157, Validation Loss: 0.4115188717842102, Validation IOU: 0.6403467452343359
Model saved
Epoch 5, Train Loss: 0.24124452989134523, Validation Loss: 0.36388377100229263, Validation IOU: 0.6337155455254574
Model saved
Epoch 6, Train Loss: 0.18241677060723305, Validation Loss: 0.33101267367601395, Validation IOU: 0.6340915051614062
Epoch 7, Train Loss: 0.13752084297852385, Validation Loss: 0.3293495178222656, Validation IOU: 0.6375679907564982
Epoch 8, Train Loss: 0.10779537643409437, Validation Loss: 0.32573937624692917, Validation IOU: 0.6378224476700912
Epoch 9, Train Loss: 0.08781471941620111, Validation Loss: 0.3194707781076431, Validation IOU: 0.63551268221537
Epoch 10, Train Loss: 0.07410443067136738, Validation Loss: 0.3082452863454819, Validation IOU: 0.6395693505624261
Epoch 11, Train Loss: 0.06487755099725392, Validation Loss: 0.3239930421113968, Validation IOU: 0.6339372421640523
Epoch 12, Train Loss: 0.056667013093829155, Validation Loss: 0.3134176954627037, Validation IOU: 0.6332031853224829
Model saved
Epoch 13, Train Loss: 0.05007018702518609, Validation Loss: 0.31883900612592697, Validation IOU: 0.6363266377591457
Epoch 14, Train Loss: 0.04547898181610637, Validation Loss: 0.32009749114513397, Validation IOU: 0.6310795946720937
Model saved
Epoch 15, Train Loss: 0.04065063161154588, Validation Loss: 0.32298794388771057, Validation IOU: 0.6386345483446542
Epoch 16, Train Loss: 0.03704846158830656, Validation Loss: 0.34280718117952347, Validation IOU: 0.6349589449900203
Epoch 17, Train Loss: 0.03445620720999108, Validation Loss: 0.323975034058094, Validation IOU: 0.6377583016252852
Epoch 18, Train Loss: 0.031756935382468834, Validation Loss: 0.3237721808254719, Validation IOU: 0.6412258934384256
Epoch 19, Train Loss: 0.029568986010013357, Validation Loss: 0.3448391668498516, Validation IOU: 0.6361902750768305
Epoch 20, Train Loss: 0.027251691453986697, Validation Loss: 0.34466246515512466, Validation IOU: 0.6271574160589333
Model saved
Epoch 21, Train Loss: 0.0253851733998292, Validation Loss: 0.3472070172429085, Validation IOU: 0.6319720031586518
Epoch 22, Train Loss: 0.023741555529543094, Validation Loss: 0.34097403287887573, Validation IOU: 0.641247915161431
Epoch 23, Train Loss: 0.022451325293837324, Validation Loss: 0.3622400648891926, Validation IOU: 0.6373731605755837
Epoch 24, Train Loss: 0.021079149562865496, Validation Loss: 0.37077442556619644, Validation IOU: 0.622571026146449
Model saved
Epoch 25, Train Loss: 0.020173521583072014, Validation Loss: 0.3848767802119255, Validation IOU: 0.6414398401602047
Epoch 26, Train Loss: 0.018771434474426012, Validation Loss: 0.3684352934360504, Validation IOU: 0.6422498439083089
Epoch 27, Train Loss: 0.017731426348392334, Validation Loss: 0.3836696296930313, Validation IOU: 0.6375285111936111
Epoch 28, Train Loss: 0.016794661034105554, Validation Loss: 0.3857026994228363, Validation IOU: 0.6269349954767383
Epoch 29, Train Loss: 0.016475474138537213, Validation Loss: 0.4016904979944229, Validation IOU: 0.6319749642577218
Epoch 30, Train Loss: 0.016236767198683486, Validation Loss: 0.40138065069913864, Validation IOU: 0.6411608819000709
Epoch 31, Train Loss: 0.015327182986463109, Validation Loss: 0.4045959636569023, Validation IOU: 0.6386263511221231
Epoch 32, Train Loss: 0.01449665789388948, Validation Loss: 0.39810463041067123, Validation IOU: 0.6181579690870955
Model saved
Epoch 33, Train Loss: 0.013554512057453394, Validation Loss: 0.42140959203243256, Validation IOU: 0.6377234879477642
Epoch 34, Train Loss: 0.014361752895638347, Validation Loss: 0.4070810303092003, Validation IOU: 0.634721796553777
Epoch 35, Train Loss: 0.01310098146657563, Validation Loss: 0.4130306616425514, Validation IOU: 0.6236247324630296
Epoch 36, Train Loss: 0.01221717314587699, Validation Loss: 0.431553453207016, Validation IOU: 0.6336101613599316
Epoch 37, Train Loss: 0.012349622492264543, Validation Loss: 0.4204140678048134, Validation IOU: 0.6429540957448554
Epoch 38, Train Loss: 0.011897450409984836, Validation Loss: 0.4345114901661873, Validation IOU: 0.6413230464028583
Epoch 39, Train Loss: 0.011712207575328648, Validation Loss: 0.44296322762966156, Validation IOU: 0.6371642321499268
Epoch 40, Train Loss: 0.011270497505190887, Validation Loss: 0.4462693780660629, Validation IOU: 0.6381030510454482
Epoch 41, Train Loss: 0.010616650365086066, Validation Loss: 0.45211608707904816, Validation IOU: 0.641945511813823
Epoch 42, Train Loss: 0.010139877093024552, Validation Loss: 0.44650381803512573, Validation IOU: 0.639334808892126
Epoch 43, Train Loss: 0.009852910485480808, Validation Loss: 0.4481295645236969, Validation IOU: 0.638213334869865
Epoch 44, Train Loss: 0.009771667323851338, Validation Loss: 0.444811649620533, Validation IOU: 0.6432082061324531
Epoch 45, Train Loss: 0.009611033013142232, Validation Loss: 0.4710727855563164, Validation IOU: 0.6368824823293827
Epoch 46, Train Loss: 0.009391091802778343, Validation Loss: 0.4514850825071335, Validation IOU: 0.6411689605909726
Epoch 47, Train Loss: 0.00891633652564552, Validation Loss: 0.4657752886414528, Validation IOU: 0.6340540904842453
Epoch 48, Train Loss: 0.008634491978834072, Validation Loss: 0.4743759110569954, Validation IOU: 0.639213107863434
Epoch 49, Train Loss: 0.008362629392649978, Validation Loss: 0.46580204367637634, Validation IOU: 0.6448518116922467
Epoch 50, Train Loss: 0.008145667793643143, Validation Loss: 0.4702513739466667, Validation IOU: 0.639443683145368
Epoch 51, Train Loss: 0.008025393271560056, Validation Loss: 0.4797496274113655, Validation IOU: 0.6350330959747046
Epoch 52, Train Loss: 0.008212733780965209, Validation Loss: 0.49560121446847916, Validation IOU: 0.6396135737112703
Epoch 53, Train Loss: 0.008102697249139763, Validation Loss: 0.48229536414146423, Validation IOU: 0.6391259918898813
Epoch 54, Train Loss: 0.007842954733253768, Validation Loss: 0.48169615119695663, Validation IOU: 0.6281873797037388
Epoch 55, Train Loss: 0.007787414929933018, Validation Loss: 0.48259933292865753, Validation IOU: 0.6365077357137953
Epoch 56, Train Loss: 0.007742218873722272, Validation Loss: 0.48986753076314926, Validation IOU: 0.6316262467370091
Epoch 57, Train Loss: 0.007347220794246014, Validation Loss: 0.4916885942220688, Validation IOU: 0.637472834988544
Epoch 58, Train Loss: 0.0071178238722495735, Validation Loss: 0.5120237544178963, Validation IOU: 0.6425869195403882
Epoch 59, Train Loss: 0.006953952646452106, Validation Loss: 0.5076708123087883, Validation IOU: 0.6331978581966677
Epoch 60, Train Loss: 0.006893610918066568, Validation Loss: 0.4932425320148468, Validation IOU: 0.6366220375894975
Epoch 61, Train Loss: 0.006820506280443321, Validation Loss: 0.510710820555687, Validation IOU: 0.6388943161583356
Epoch 62, Train Loss: 0.006916493533127423, Validation Loss: 0.497657410800457, Validation IOU: 0.6394461600160235
Epoch 63, Train Loss: 0.0067808659967138534, Validation Loss: 0.5113476067781448, Validation IOU: 0.6394690568448199
Epoch 64, Train Loss: 0.006498012924566865, Validation Loss: 0.5065419971942902, Validation IOU: 0.6434897044779206
Epoch 65, Train Loss: 0.006466490721019606, Validation Loss: 0.5069059804081917, Validation IOU: 0.6411660232251736
Epoch 66, Train Loss: 0.00622018933063373, Validation Loss: 0.5265679359436035, Validation IOU: 0.6356029425976177
Epoch 67, Train Loss: 0.006304104359717005, Validation Loss: 0.5248856693506241, Validation IOU: 0.6353942206717637
Epoch 68, Train Loss: 0.006001539541304939, Validation Loss: 0.5241366401314735, Validation IOU: 0.6374517806278754
Epoch 69, Train Loss: 0.0060440730077162795, Validation Loss: 0.5267328172922134, Validation IOU: 0.627222974239961
Epoch 70, Train Loss: 0.005903599091753777, Validation Loss: 0.5240064933896065, Validation IOU: 0.6358448673590036
Epoch 71, Train Loss: 0.005866035489210238, Validation Loss: 0.5383404716849327, Validation IOU: 0.6385069772641345
Epoch 72, Train Loss: 0.005713731470879995, Validation Loss: 0.5315449461340904, Validation IOU: 0.6415008647986769
Epoch 73, Train Loss: 0.005681041556979633, Validation Loss: 0.5490493625402451, Validation IOU: 0.6321182446099131
Epoch 74, Train Loss: 0.0053878041055415654, Validation Loss: 0.537121094763279, Validation IOU: 0.6394717724390062
Epoch 75, Train Loss: 0.005452100708175244, Validation Loss: 0.5469903126358986, Validation IOU: 0.6319528928520598
Epoch 76, Train Loss: 0.005446015569355546, Validation Loss: 0.5490555241703987, Validation IOU: 0.6385309852386019
Epoch 77, Train Loss: 0.005236165924644511, Validation Loss: 0.5475737303495407, Validation IOU: 0.6394249313784672
Epoch 78, Train Loss: 0.005437803487034721, Validation Loss: 0.558881014585495, Validation IOU: 0.6337029935696044
Epoch 79, Train Loss: 0.005313230348595728, Validation Loss: 0.5488296300172806, Validation IOU: 0.6342271093421528
Epoch 80, Train Loss: 0.005414149426441226, Validation Loss: 0.5528905168175697, Validation IOU: 0.638865071267314
Epoch 81, Train Loss: 0.0052286528839936685, Validation Loss: 0.5577762573957443, Validation IOU: 0.640027054285589
Epoch 82, Train Loss: 0.00582684972970229, Validation Loss: 0.5682748928666115, Validation IOU: 0.6367128918907417
Epoch 83, Train Loss: 0.005086811133272325, Validation Loss: 0.5619237199425697, Validation IOU: 0.6375259362060735
Epoch 84, Train Loss: 0.004949670660102533, Validation Loss: 0.5656061992049217, Validation IOU: 0.6378064053650134
Epoch 85, Train Loss: 0.004881631570040352, Validation Loss: 0.5590925440192223, Validation IOU: 0.6421092246271383
Epoch 86, Train Loss: 0.005002087683856694, Validation Loss: 0.557970754802227, Validation IOU: 0.6347132826083179
Epoch 87, Train Loss: 0.005156272737723257, Validation Loss: 0.5788174271583557, Validation IOU: 0.6359120528418469
Epoch 88, Train Loss: 0.004684634083080002, Validation Loss: 0.567715622484684, Validation IOU: 0.638246662834457
Epoch 89, Train Loss: 0.004484437199102508, Validation Loss: 0.57428839802742, Validation IOU: 0.6456762365767394
Epoch 90, Train Loss: 0.00457169876446844, Validation Loss: 0.5761464238166809, Validation IOU: 0.6359389918618594
Epoch 91, Train Loss: 0.0044990275216858005, Validation Loss: 0.5900822803378105, Validation IOU: 0.6363433164740478
Epoch 92, Train Loss: 0.004424729662585176, Validation Loss: 0.593312032520771, Validation IOU: 0.6298547925073957
Epoch 93, Train Loss: 0.004337079528745057, Validation Loss: 0.5890691727399826, Validation IOU: 0.6366716017816124
Epoch 94, Train Loss: 0.004343278353594037, Validation Loss: 0.5845580846071243, Validation IOU: 0.6424758606882657
Epoch 95, Train Loss: 0.004360947741790571, Validation Loss: 0.5940635949373245, Validation IOU: 0.635266014169755
Epoch 96, Train Loss: 0.004391786567996153, Validation Loss: 0.5924826338887215, Validation IOU: 0.6355165092610429
Epoch 97, Train Loss: 0.004272439520314543, Validation Loss: 0.5998278558254242, Validation IOU: 0.62982679703673
Epoch 98, Train Loss: 0.004211827656642224, Validation Loss: 0.6073471233248711, Validation IOU: 0.6364708976582443
Epoch 99, Train Loss: 0.004064945141888327, Validation Loss: 0.5953744500875473, Validation IOU: 0.6432563110964823
Epoch 100, Train Loss: 0.0040206729803079115, Validation Loss: 0.594148799777031, Validation IOU: 0.6335050123682251
Epoch 101, Train Loss: 0.0037616046352518927, Validation Loss: 0.6039656549692154, Validation IOU: 0.6419668930228812
Epoch 102, Train Loss: 0.003793314089610552, Validation Loss: 0.6000272408127785, Validation IOU: 0.6408020143241275
Epoch 103, Train Loss: 0.00397435508784838, Validation Loss: 0.6116200685501099, Validation IOU: 0.6365308471944077
