
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.902540335059166, Train Iou: 0.7433701288678963, Validation Loss: 0.719004362821579, Validation IOU: 0.6397459572377143
Model saved
Epoch 2, Train Loss: 0.6183714270591736, Train Iou: 0.6021893151970913, Validation Loss: 0.5346663594245911, Validation IOU: 0.5473796452090006
Model saved
Epoch 3, Train Loss: 0.4781646803021431, Train Iou: 0.5521203026796848, Validation Loss: 0.4957403391599655, Validation IOU: 0.4944999223925375
Model saved
Epoch 4, Train Loss: 0.39161953926086424, Train Iou: 0.4590901508541426, Validation Loss: 0.35955949127674103, Validation IOU: 0.3950561582979438
Model saved
Epoch 5, Train Loss: 0.333008861541748, Train Iou: 0.4006712135336212, Validation Loss: 0.3741912543773651, Validation IOU: 0.39511783301124515
Epoch 6, Train Loss: 0.28490048199892043, Train Iou: 0.36103978895797495, Validation Loss: 0.2333228662610054, Validation IOU: 0.3135909879689369
Model saved
Epoch 7, Train Loss: 0.24497677460312844, Train Iou: 0.3429535540296232, Validation Loss: 0.20887590199708939, Validation IOU: 0.3416043104626857
Epoch 8, Train Loss: 0.21430936828255653, Train Iou: 0.33017844603492763, Validation Loss: 0.18924183398485184, Validation IOU: 0.333705092093981
Epoch 9, Train Loss: 0.18888387084007263, Train Iou: 0.31511765552103305, Validation Loss: 0.18616724759340286, Validation IOU: 0.3409615255716506
Epoch 10, Train Loss: 0.16739639788866043, Train Iou: 0.30672339164761636, Validation Loss: 0.18102221935987473, Validation IOU: 0.34428889494883136
Epoch 11, Train Loss: 0.15010712519288064, Train Iou: 0.299207370939785, Validation Loss: 0.13381555303931236, Validation IOU: 0.26586574944413954
Model saved
Epoch 12, Train Loss: 0.13566875793039798, Train Iou: 0.2948821152032546, Validation Loss: 0.13301536068320274, Validation IOU: 0.3029541378298295
Epoch 13, Train Loss: 0.12399169951677322, Train Iou: 0.28570739945783574, Validation Loss: 0.11891089007258415, Validation IOU: 0.28249332633802404
