
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 1.2244898676872253, Train Iou: 0.9122564194617528, Validation Loss: 1.1686553955078125, Validation IOU: 0.9335067147830085
Model saved
Epoch 2, Train Loss: 0.8717218935489655, Train Iou: 0.7106027155590886, Validation Loss: 0.8990826308727264, Validation IOU: 0.6828456335414269
Model saved
Epoch 3, Train Loss: 0.7158989101648331, Train Iou: 0.5308893439439265, Validation Loss: 0.769741415977478, Validation IOU: 0.6316202040979771
Model saved
Epoch 4, Train Loss: 0.6122172743082046, Train Iou: 0.451529331262052, Validation Loss: 0.6951373219490051, Validation IOU: 0.666723275250729
Epoch 5, Train Loss: 0.5293758004903794, Train Iou: 0.4105524988630318, Validation Loss: 0.7150563597679138, Validation IOU: 0.6076175354616672
Model saved
Epoch 6, Train Loss: 0.46468486338853837, Train Iou: 0.38559432290494977, Validation Loss: 0.5057279169559479, Validation IOU: 0.5231514407534474
Model saved
Epoch 7, Train Loss: 0.4101922571659088, Train Iou: 0.36270296874459873, Validation Loss: 0.568666473031044, Validation IOU: 0.5877430227988831
Epoch 8, Train Loss: 0.36527259945869445, Train Iou: 0.340362171534001, Validation Loss: 0.4414910227060318, Validation IOU: 0.43586660011210027
Model saved
Epoch 9, Train Loss: 0.32850202471017836, Train Iou: 0.3219832589167256, Validation Loss: 0.34477026760578156, Validation IOU: 0.4335489524111365
Model saved
Epoch 10, Train Loss: 0.29841540604829786, Train Iou: 0.3096747278432536, Validation Loss: 0.3428564965724945, Validation IOU: 0.44886949366769485
Epoch 11, Train Loss: 0.2715220868587494, Train Iou: 0.296411031871449, Validation Loss: 0.39351707696914673, Validation IOU: 0.5282530175775457
Epoch 12, Train Loss: 0.24668048098683357, Train Iou: 0.27439087735276424, Validation Loss: 0.46455851197242737, Validation IOU: 0.5163417807708901
Epoch 13, Train Loss: 0.22554289698600768, Train Iou: 0.25641113510461616, Validation Loss: 0.26600512117147446, Validation IOU: 0.4246006538771536
Model saved
Epoch 14, Train Loss: 0.20638430789113044, Train Iou: 0.2476228778366827, Validation Loss: 0.21911422908306122, Validation IOU: 0.30782029594203786
Model saved
Epoch 15, Train Loss: 0.1889606773853302, Train Iou: 0.2387071605241841, Validation Loss: 0.2056969255208969, Validation IOU: 0.3340575121429462
Epoch 16, Train Loss: 0.1728668324649334, Train Iou: 0.23148644691824666, Validation Loss: 0.22824323922395706, Validation IOU: 0.3308827723092618
Epoch 17, Train Loss: 0.1584532380104065, Train Iou: 0.22319835402684846, Validation Loss: 0.3160632252693176, Validation IOU: 0.4200712554946819
Epoch 18, Train Loss: 0.14607227817177773, Train Iou: 0.21931849928538688, Validation Loss: 0.180070661008358, Validation IOU: 0.32150202150900586
Epoch 19, Train Loss: 0.13462372869253159, Train Iou: 0.21299893094677746, Validation Loss: 0.2403295636177063, Validation IOU: 0.32270034830320365
Epoch 20, Train Loss: 0.1250408634543419, Train Iou: 0.21046342314020716, Validation Loss: 0.2164379581809044, Validation IOU: 0.46022902846284197
Epoch 21, Train Loss: 0.1158929005265236, Train Iou: 0.20582423086310114, Validation Loss: 0.23403090983629227, Validation IOU: 0.3140124561465366
Epoch 22, Train Loss: 0.10776770450174808, Train Iou: 0.19776093448979998, Validation Loss: 0.13558964058756828, Validation IOU: 0.31960712228586957
Epoch 23, Train Loss: 0.1003540676087141, Train Iou: 0.19219356788810255, Validation Loss: 0.14112946391105652, Validation IOU: 0.2649046122682978
Model saved
Epoch 24, Train Loss: 0.0938168678432703, Train Iou: 0.18614137113578946, Validation Loss: 0.13496583327651024, Validation IOU: 0.2738175410119902
Epoch 25, Train Loss: 0.08834444470703602, Train Iou: 0.18521726940691244, Validation Loss: 0.1335936114192009, Validation IOU: 0.3209010156744475
Epoch 26, Train Loss: 0.08277361169457435, Train Iou: 0.17848159297846836, Validation Loss: 0.13377299159765244, Validation IOU: 0.34530634104158076
Epoch 27, Train Loss: 0.07794216647744179, Train Iou: 0.17406204996258362, Validation Loss: 0.18729227036237717, Validation IOU: 0.35570490921549663
Epoch 28, Train Loss: 0.07365666218101978, Train Iou: 0.17173206717919548, Validation Loss: 0.13621073961257935, Validation IOU: 0.2922351253953728
Epoch 29, Train Loss: 0.06980601809918881, Train Iou: 0.16957559486882093, Validation Loss: 0.10186521522700787, Validation IOU: 0.24795712016737687
Model saved
Epoch 30, Train Loss: 0.06605867333710194, Train Iou: 0.16736271700725797, Validation Loss: 0.10141600109636784, Validation IOU: 0.2571373800736836
Epoch 31, Train Loss: 0.06258169393986464, Train Iou: 0.16056689029289653, Validation Loss: 0.12069306522607803, Validation IOU: 0.37016074192221105
Epoch 32, Train Loss: 0.059515680000185964, Train Iou: 0.15934293636497512, Validation Loss: 0.12427765876054764, Validation IOU: 0.31430831135438664
Epoch 33, Train Loss: 0.056453722342848775, Train Iou: 0.15321338771438256, Validation Loss: 0.18093426525592804, Validation IOU: 0.34811468202932366
Epoch 34, Train Loss: 0.05412383414804935, Train Iou: 0.15241115232814012, Validation Loss: 0.13475126773118973, Validation IOU: 0.3104500688452941
Epoch 35, Train Loss: 0.051838045567274095, Train Iou: 0.15294278129726613, Validation Loss: 0.18574494123458862, Validation IOU: 0.2952415157226926
Epoch 36, Train Loss: 0.04951956458389759, Train Iou: 0.14858209150124407, Validation Loss: 0.19813260808587074, Validation IOU: 0.28974300875271447
Epoch 37, Train Loss: 0.04692320805042982, Train Iou: 0.143395901182874, Validation Loss: 0.09313381463289261, Validation IOU: 0.2547047136337712
Epoch 38, Train Loss: 0.04468831308186054, Train Iou: 0.13709765807259472, Validation Loss: 0.10930433496832848, Validation IOU: 0.3208168551508872
Epoch 39, Train Loss: 0.04282592702656984, Train Iou: 0.13481776216578292, Validation Loss: 0.08859616331756115, Validation IOU: 0.24169357748755999
Model saved
