
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.6301013886928558, Train Iou: 0.9193637368077535, Validation IOU: 0.742800117107816
Model saved
Epoch 2, Train Loss: 0.5262816160917282, Train Iou: 0.7919363789852448, Validation IOU: 0.6484083782103603
Model saved
Epoch 3, Train Loss: 0.4726443007588387, Train Iou: 0.6997523388854261, Validation IOU: 0.5962594524768183
Model saved
Epoch 4, Train Loss: 0.42835397869348524, Train Iou: 0.6192307152530223, Validation IOU: 0.6278418933520235
Epoch 5, Train Loss: 0.3897510007023811, Train Iou: 0.5764827240500278, Validation IOU: 0.5985085523158378
Epoch 6, Train Loss: 0.35516810566186907, Train Iou: 0.5406362343223107, Validation IOU: 0.554744268831526
Model saved
Epoch 7, Train Loss: 0.32388739883899687, Train Iou: 0.5132300722407984, Validation IOU: 0.5578717432428295
Epoch 8, Train Loss: 0.2974576473236084, Train Iou: 0.5038222039095264, Validation IOU: 0.4345178436191584
Model saved
Epoch 9, Train Loss: 0.27204894125461576, Train Iou: 0.4852210069112374, Validation IOU: 0.4564457529606796
Epoch 10, Train Loss: 0.2499374695122242, Train Iou: 0.46727899601000766, Validation IOU: 0.470218872433128
Epoch 11, Train Loss: 0.2293972708284855, Train Iou: 0.45620175610272745, Validation IOU: 0.3811618972793116
Model saved
Epoch 12, Train Loss: 0.21113490238785743, Train Iou: 0.44752792769785954, Validation IOU: 0.47513395717337964
Epoch 13, Train Loss: 0.1949022062122822, Train Iou: 0.4367895922030245, Validation IOU: 0.4396019650512845
Epoch 14, Train Loss: 0.17996744737029075, Train Iou: 0.4297291443328347, Validation IOU: 0.44547722473224505
Epoch 15, Train Loss: 0.16806547567248345, Train Iou: 0.4248389894164445, Validation IOU: 0.42745712796085533
Epoch 16, Train Loss: 0.1560785613954067, Train Iou: 0.41100895212138083, Validation IOU: 0.40685910472481857
Epoch 17, Train Loss: 0.14586348906159402, Train Iou: 0.41043856979095966, Validation IOU: 0.44325058491458363
Epoch 18, Train Loss: 0.13700639456510544, Train Iou: 0.41033785576047155, Validation IOU: 0.44512143578063096
Epoch 19, Train Loss: 0.12861955948174, Train Iou: 0.40837228247422297, Validation IOU: 0.4104576517991293
Epoch 20, Train Loss: 0.12085966356098651, Train Iou: 0.4046000402259457, Validation IOU: 0.3957819692397839
