
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 0.7283626735210419, Train Iou: 0.9939815678950683, Validation IOU: 0.9843208749885628
Model saved
Epoch 2, Train Loss: 0.5645885765552521, Train Iou: 0.9994843508662253, Validation IOU: 1.0
Epoch 3, Train Loss: 0.5001966804265976, Train Iou: 0.9990381182558998, Validation IOU: 0.9893180395285541
Epoch 4, Train Loss: 0.45902557373046876, Train Iou: 0.9184492312483835, Validation IOU: 0.8091045893130784
Model saved
Epoch 5, Train Loss: 0.4281160831451416, Train Iou: 0.7501892987855958, Validation IOU: 0.7107262858653145
Model saved
Epoch 6, Train Loss: 0.4024664551019669, Train Iou: 0.7097010268874202, Validation IOU: 0.6780023434190541
Model saved
Epoch 7, Train Loss: 0.3830363154411316, Train Iou: 0.6898903560090841, Validation IOU: 0.6759077446726476
Model saved
Epoch 8, Train Loss: 0.3607619136571884, Train Iou: 0.6816717114692616, Validation IOU: 0.6815257896253213
Epoch 9, Train Loss: 0.3429602265357971, Train Iou: 0.6522851332338371, Validation IOU: 0.6175046220339233
Model saved
Epoch 10, Train Loss: 0.3264481410384178, Train Iou: 0.6162679688084847, Validation IOU: 0.5255025000334341
Model saved
Epoch 11, Train Loss: 0.3111762166023254, Train Iou: 0.5799967104169517, Validation IOU: 0.5033988161004959
Model saved
Epoch 12, Train Loss: 0.2949699565768242, Train Iou: 0.5651125961115329, Validation IOU: 0.5876533537046055
Epoch 13, Train Loss: 0.27936680912971495, Train Iou: 0.5487741283641614, Validation IOU: 0.44114448736886036
Model saved
Epoch 14, Train Loss: 0.2583908513188362, Train Iou: 0.5281600759234251, Validation IOU: 0.5232146872896187
Epoch 15, Train Loss: 0.2377326250076294, Train Iou: 0.5232237252134873, Validation IOU: 0.5615668401459624
Epoch 16, Train Loss: 0.2185357503592968, Train Iou: 0.511977164945191, Validation IOU: 0.5070894315658097
Epoch 17, Train Loss: 0.20229349061846733, Train Iou: 0.4988988233554581, Validation IOU: 0.5087995742779714
Epoch 18, Train Loss: 0.18737055808305741, Train Iou: 0.49142091087653866, Validation IOU: 0.47849543427592606
Epoch 19, Train Loss: 0.1743864119052887, Train Iou: 0.48537862905942514, Validation IOU: 0.5004816499116214
Epoch 20, Train Loss: 0.16253922656178474, Train Iou: 0.4784682969121893, Validation IOU: 0.4564620523221996
Epoch 21, Train Loss: 0.15171099081635475, Train Iou: 0.47043386366266127, Validation IOU: 0.4616777709419355
Epoch 22, Train Loss: 0.14212660491466522, Train Iou: 0.46574600028078983, Validation IOU: 0.46226967136053604
Epoch 23, Train Loss: 0.13380377143621444, Train Iou: 0.46342495233735204, Validation IOU: 0.47940517974620034
Epoch 24, Train Loss: 0.12579440623521804, Train Iou: 0.4596457540141383, Validation IOU: 0.4448286636248031
Epoch 25, Train Loss: 0.1189071036875248, Train Iou: 0.4615622350025047, Validation IOU: 0.45331240833730857
Epoch 26, Train Loss: 0.11270347200334072, Train Iou: 0.4534947909510184, Validation IOU: 0.4644070346557513
Epoch 27, Train Loss: 0.10591024681925773, Train Iou: 0.4492750880046084, Validation IOU: 0.46560365901869866
Epoch 28, Train Loss: 0.10062438845634461, Train Iou: 0.4480648363568804, Validation IOU: 0.4391782642829861
Model saved
Epoch 29, Train Loss: 0.09481144100427627, Train Iou: 0.4434641858858752, Validation IOU: 0.5036052913391256
Epoch 30, Train Loss: 0.09081357344985008, Train Iou: 0.44512094377303263, Validation IOU: 0.4604741770708369
Epoch 31, Train Loss: 0.0855138834565878, Train Iou: 0.44412910714110804, Validation IOU: 0.35224494664487516
Model saved
Epoch 32, Train Loss: 0.08107626847922803, Train Iou: 0.434872776913925, Validation IOU: 0.4561046233919532
Epoch 33, Train Loss: 0.0772547647356987, Train Iou: 0.43518694500552135, Validation IOU: 0.42748357044218555
Epoch 34, Train Loss: 0.07329624630510807, Train Iou: 0.43514422864875807, Validation IOU: 0.4605412182942665
Epoch 35, Train Loss: 0.07007439509034157, Train Iou: 0.4309179876883401, Validation IOU: 0.4403130085289234
Epoch 36, Train Loss: 0.06688357964158058, Train Iou: 0.43285156548638526, Validation IOU: 0.44102662997577396
Epoch 37, Train Loss: 0.06350665949285031, Train Iou: 0.42905487519952656, Validation IOU: 0.4311612931863445
Epoch 38, Train Loss: 0.0608260964974761, Train Iou: 0.4387743172465818, Validation IOU: 0.4290936453067141
Epoch 39, Train Loss: 0.058015146665275096, Train Iou: 0.43048119890874065, Validation IOU: 0.40469611999297794
Epoch 40, Train Loss: 0.0559505732730031, Train Iou: 0.429770088810468, Validation IOU: 0.43455764750815157
Epoch 41, Train Loss: 0.05373462159186602, Train Iou: 0.4313281568296083, Validation IOU: 0.4580881329231019
Epoch 42, Train Loss: 0.0517454095184803, Train Iou: 0.4258802558377074, Validation IOU: 0.4576799019543911
Epoch 43, Train Loss: 0.05001961104571819, Train Iou: 0.428226296346116, Validation IOU: 0.4332450507473362
Epoch 44, Train Loss: 0.047596382163465026, Train Iou: 0.4252873347252672, Validation IOU: 0.4411952206614946
Epoch 45, Train Loss: 0.04637420102953911, Train Iou: 0.42403320762133223, Validation IOU: 0.36271126314095364
Epoch 46, Train Loss: 0.044482849352061746, Train Iou: 0.42117637304383243, Validation IOU: 0.3405930910859739
Model saved
Epoch 47, Train Loss: 0.04358754083514214, Train Iou: 0.42405190766971546, Validation IOU: 0.4321840263959211
Epoch 48, Train Loss: 0.04206815622746944, Train Iou: 0.4228233635747462, Validation IOU: 0.43733028024850573
Epoch 49, Train Loss: 0.04104571510106325, Train Iou: 0.42124989687441, Validation IOU: 0.3808707484121745
Epoch 50, Train Loss: 0.039706839434802535, Train Iou: 0.42222987028839365, Validation IOU: 0.4294075747011333
Epoch 51, Train Loss: 0.03863329943269491, Train Iou: 0.4197046985775234, Validation IOU: 0.47097976487791643
Epoch 52, Train Loss: 0.037877492047846316, Train Iou: 0.4205612151896084, Validation IOU: 0.4464842565067571
Epoch 53, Train Loss: 0.036560218781232834, Train Iou: 0.4165873055171792, Validation IOU: 0.43145763875993104
Epoch 54, Train Loss: 0.03578260410577059, Train Iou: 0.41684115595654675, Validation IOU: 0.41931185219468564
Epoch 55, Train Loss: 0.03473554737865925, Train Iou: 0.4147000425314962, Validation IOU: 0.39510207782433937
Epoch 56, Train Loss: 0.03403323143720627, Train Iou: 0.4131602716630539, Validation IOU: 0.3980904509815666
Epoch 57, Train Loss: 0.03310628170147538, Train Iou: 0.414271546330919, Validation IOU: 0.35154960970065785
Epoch 58, Train Loss: 0.0325866206549108, Train Iou: 0.41342213872196076, Validation IOU: 0.5032825874343236
Epoch 59, Train Loss: 0.03169051203876734, Train Iou: 0.4152597181328896, Validation IOU: 0.35716125606834187
Epoch 60, Train Loss: 0.031100056413561106, Train Iou: 0.41406000951389144, Validation IOU: 0.37329645017595414
Epoch 61, Train Loss: 0.030534138437360525, Train Iou: 0.4154273198469339, Validation IOU: 0.38676835315133484
Epoch 62, Train Loss: 0.029877884220331906, Train Iou: 0.4116877633054953, Validation IOU: 0.323115098418159
Model saved
Epoch 63, Train Loss: 0.029238244239240884, Train Iou: 0.4107867984072214, Validation IOU: 0.3393895854499988
Epoch 64, Train Loss: 0.02872595367953181, Train Iou: 0.41232490901792546, Validation IOU: 0.4424554150453997
Epoch 65, Train Loss: 0.028383853007107974, Train Iou: 0.4110326840775613, Validation IOU: 0.3471635265771904
Epoch 66, Train Loss: 0.027624438889324664, Train Iou: 0.4110261148656852, Validation IOU: 0.34514807763480115
Epoch 67, Train Loss: 0.02727304808795452, Train Iou: 0.410883966951795, Validation IOU: 0.4151824023295674
Epoch 68, Train Loss: 0.026705415919423103, Train Iou: 0.41001338370220697, Validation IOU: 0.4539845517610229
Epoch 69, Train Loss: 0.026390018966048957, Train Iou: 0.40865677022188523, Validation IOU: 0.4251597086995375
Epoch 70, Train Loss: 0.025928187184035778, Train Iou: 0.40561197401551913, Validation IOU: 0.4149655937879112
Epoch 71, Train Loss: 0.025313957780599593, Train Iou: 0.4024330515417381, Validation IOU: 0.3531063951538999
Epoch 72, Train Loss: 0.025127873569726945, Train Iou: 0.40538568813279835, Validation IOU: 0.43100799990249455
Epoch 73, Train Loss: 0.024828477669507264, Train Iou: 0.4118411223066875, Validation IOU: 0.4148701187621418
Epoch 74, Train Loss: 0.02429158380255103, Train Iou: 0.4054179935746042, Validation IOU: 0.41987452125283425
Epoch 75, Train Loss: 0.02409693766385317, Train Iou: 0.4080605122840059, Validation IOU: 0.40754632205522406
Epoch 76, Train Loss: 0.023516524862498046, Train Iou: 0.40659634206304407, Validation IOU: 0.40243016984231156
Epoch 77, Train Loss: 0.023177615366876125, Train Iou: 0.4054827851576068, Validation IOU: 0.4219981948618078
Epoch 78, Train Loss: 0.02300105830654502, Train Iou: 0.4031440439117785, Validation IOU: 0.3819325299295979
Epoch 79, Train Loss: 0.022767041251063345, Train Iou: 0.40583251020982064, Validation IOU: 0.3466041206619364
Epoch 80, Train Loss: 0.0224461960606277, Train Iou: 0.40379844365953754, Validation IOU: 0.4359201280356646
Epoch 81, Train Loss: 0.022071423195302486, Train Iou: 0.40238290491461165, Validation IOU: 0.4023328451509941
Epoch 82, Train Loss: 0.021786788944154978, Train Iou: 0.40268176777929865, Validation IOU: 0.3515208211393791
Epoch 83, Train Loss: 0.021629369631409646, Train Iou: 0.3996424098100163, Validation IOU: 0.37907242737363744
Epoch 84, Train Loss: 0.021175169758498667, Train Iou: 0.40027711655463527, Validation IOU: 0.4065545186022369
Epoch 85, Train Loss: 0.020979903172701597, Train Iou: 0.3994408622971385, Validation IOU: 0.43243660112214355
Epoch 86, Train Loss: 0.02073763059452176, Train Iou: 0.400247884773293, Validation IOU: 0.42284210970774644
Epoch 87, Train Loss: 0.020558092184364794, Train Iou: 0.39966834122571726, Validation IOU: 0.3302260345977944
Epoch 88, Train Loss: 0.020117685291916133, Train Iou: 0.39280814151214904, Validation IOU: 0.4501822094787423
Epoch 89, Train Loss: 0.020002422854304314, Train Iou: 0.39749869592266085, Validation IOU: 0.3488171637111325
Epoch 90, Train Loss: 0.01966315321624279, Train Iou: 0.39095855742707847, Validation IOU: 0.3731832770031001
Epoch 91, Train Loss: 0.019693338964134454, Train Iou: 0.3946603910768275, Validation IOU: 0.4073557357746441
Epoch 92, Train Loss: 0.019333993270993232, Train Iou: 0.39605220349203446, Validation IOU: 0.3864674766965517
Epoch 93, Train Loss: 0.01928911730647087, Train Iou: 0.39288054373735337, Validation IOU: 0.4481974217398168
Epoch 94, Train Loss: 0.019027899019420147, Train Iou: 0.39747341741648917, Validation IOU: 0.3721000673422795
Epoch 95, Train Loss: 0.018878357484936714, Train Iou: 0.39432917126015987, Validation IOU: 0.4478675332372295
Epoch 96, Train Loss: 0.01873495792970061, Train Iou: 0.3921411904144321, Validation IOU: 0.38964954104484884
Epoch 97, Train Loss: 0.01852754605934024, Train Iou: 0.39673201427572496, Validation IOU: 0.4253175824147398
Epoch 98, Train Loss: 0.01845549661666155, Train Iou: 0.39639533658253134, Validation IOU: 0.44040480643766805
Epoch 99, Train Loss: 0.018124889582395554, Train Iou: 0.39364549841278534, Validation IOU: 0.4233084413788444
Epoch 100, Train Loss: 0.01819865917786956, Train Iou: 0.3920846946443541, Validation IOU: 0.44363123375339947
Epoch 101, Train Loss: 0.01789810708723962, Train Iou: 0.3929107890621073, Validation IOU: 0.3872381066052125
Epoch 102, Train Loss: 0.017846595123410226, Train Iou: 0.39114746306413517, Validation IOU: 0.37960688976981694
Epoch 103, Train Loss: 0.01759261004626751, Train Iou: 0.3926471092298608, Validation IOU: 0.43498483465588633
Epoch 104, Train Loss: 0.017374303331598638, Train Iou: 0.3906539218060141, Validation IOU: 0.372878891954305
Epoch 105, Train Loss: 0.017281936015933752, Train Iou: 0.38847517909676116, Validation IOU: 0.43357864327861784
Epoch 106, Train Loss: 0.017276222305372357, Train Iou: 0.3889808992265595, Validation IOU: 0.4376503600364829
Epoch 107, Train Loss: 0.017247489560395478, Train Iou: 0.39143671993536644, Validation IOU: 0.3028153355340525
Model saved
Epoch 108, Train Loss: 0.016913132136687638, Train Iou: 0.3873389991256776, Validation IOU: 0.4342504407146138
Epoch 109, Train Loss: 0.01674230652861297, Train Iou: 0.3859251989909465, Validation IOU: 0.3701242364154753
Epoch 110, Train Loss: 0.016753298649564385, Train Iou: 0.39121387716178224, Validation IOU: 0.4129235819389238
Epoch 111, Train Loss: 0.016752090025693177, Train Iou: 0.3874188617035469, Validation IOU: 0.43662471444921497
Epoch 112, Train Loss: 0.016610673209652305, Train Iou: 0.39036015015720393, Validation IOU: 0.4372221816025553
Epoch 113, Train Loss: 0.016409087274223567, Train Iou: 0.38926962477460797, Validation IOU: 0.4040343490308511
Epoch 114, Train Loss: 0.016232602577656508, Train Iou: 0.3872923002035319, Validation IOU: 0.3316917463820213
Epoch 115, Train Loss: 0.016197796678170562, Train Iou: 0.3872301790764927, Validation IOU: 0.42242249409957977
Epoch 116, Train Loss: 0.016149325715377926, Train Iou: 0.38824863890503786, Validation IOU: 0.44090031187887174
Epoch 117, Train Loss: 0.016239900933578612, Train Iou: 0.3869163988806509, Validation IOU: 0.3320575448812567
Epoch 118, Train Loss: 0.01614016550593078, Train Iou: 0.3870915282334192, Validation IOU: 0.43219783527206135
Epoch 119, Train Loss: 0.015893995761871338, Train Iou: 0.3906710716951867, Validation IOU: 0.4465077123660688
Epoch 120, Train Loss: 0.015614916244521737, Train Iou: 0.38082857792165936, Validation IOU: 0.42117780494219464
Epoch 121, Train Loss: 0.015403630631044506, Train Iou: 0.3790627796211661, Validation IOU: 0.34112065003941944
Epoch 122, Train Loss: 0.01558233005926013, Train Iou: 0.3867234583030144, Validation IOU: 0.4213549265147484
Epoch 123, Train Loss: 0.015424115490168333, Train Iou: 0.38325984845785965, Validation IOU: 0.43329435538338096
Epoch 124, Train Loss: 0.01512951971963048, Train Iou: 0.38031428246836435, Validation IOU: 0.4106743421059665
Epoch 125, Train Loss: 0.015169609151780606, Train Iou: 0.37974815916669236, Validation IOU: 0.40459283412086994
Epoch 126, Train Loss: 0.015022231778129936, Train Iou: 0.3830557835594077, Validation IOU: 0.39541922444951433
Epoch 127, Train Loss: 0.014993739873170852, Train Iou: 0.3795068187012786, Validation IOU: 0.3877671354726985
Epoch 128, Train Loss: 0.014898670557886361, Train Iou: 0.379738456817766, Validation IOU: 0.31644803200987454
Epoch 129, Train Loss: 0.014675251580774784, Train Iou: 0.376273773411692, Validation IOU: 0.42134867125643244
Epoch 130, Train Loss: 0.01457471982575953, Train Iou: 0.3760316761328847, Validation IOU: 0.4328853939418827
Epoch 131, Train Loss: 0.01445640493184328, Train Iou: 0.3771582929177505, Validation IOU: 0.41406723184612476
Epoch 132, Train Loss: 0.014502885146066546, Train Iou: 0.37764632602560405, Validation IOU: 0.3033629583858462
Epoch 133, Train Loss: 0.014553465833887457, Train Iou: 0.37940888183615357, Validation IOU: 0.44983773224653073
Epoch 134, Train Loss: 0.014361320855095982, Train Iou: 0.37791570672822045, Validation IOU: 0.438830622666298
Epoch 135, Train Loss: 0.014313966548070312, Train Iou: 0.3776961825060524, Validation IOU: 0.4122110677712423
Epoch 136, Train Loss: 0.01420739060267806, Train Iou: 0.37814996145741586, Validation IOU: 0.39463031304144114
Epoch 137, Train Loss: 0.014276600722223521, Train Iou: 0.3760477908751128, Validation IOU: 0.43387844011282883
Epoch 138, Train Loss: 0.014050007704645396, Train Iou: 0.3814982897236052, Validation IOU: 0.3831067420828168
Epoch 139, Train Loss: 0.013974388036876917, Train Iou: 0.37399321541853964, Validation IOU: 0.4256871466391115
Epoch 140, Train Loss: 0.014011601405218243, Train Iou: 0.3759142213574943, Validation IOU: 0.3995762728632354
Epoch 141, Train Loss: 0.013853460270911454, Train Iou: 0.3730857085248782, Validation IOU: 0.38256585183267755
Epoch 142, Train Loss: 0.013907609088346363, Train Iou: 0.37588668201509634, Validation IOU: 0.3899416952529129
Epoch 143, Train Loss: 0.013613674882799387, Train Iou: 0.37015440390052473, Validation IOU: 0.39984338415440074
Epoch 144, Train Loss: 0.013638643128797413, Train Iou: 0.3726074294410652, Validation IOU: 0.3779264344245254
Epoch 145, Train Loss: 0.013538889726623893, Train Iou: 0.37016650592681855, Validation IOU: 0.3262723422307733
Epoch 146, Train Loss: 0.013835604907944799, Train Iou: 0.37586852803774046, Validation IOU: 0.3763027755769603
Epoch 147, Train Loss: 0.013800450135022402, Train Iou: 0.3783579756889063, Validation IOU: 0.39105909174120246
Epoch 148, Train Loss: 0.013537541870027781, Train Iou: 0.36800603139715654, Validation IOU: 0.3861090167541928
Epoch 149, Train Loss: 0.01352049526758492, Train Iou: 0.377053518978066, Validation IOU: 0.3855296092409478
Epoch 150, Train Loss: 0.013455869629979134, Train Iou: 0.3719164481696167, Validation IOU: 0.4135353340711204
Epoch 151, Train Loss: 0.013346102740615606, Train Iou: 0.37149411067823757, Validation IOU: 0.4683738577602614
Epoch 152, Train Loss: 0.013430363312363625, Train Iou: 0.3702848964233786, Validation IOU: 0.4167269605676199
Epoch 153, Train Loss: 0.013319248566403985, Train Iou: 0.3714602690699634, Validation IOU: 0.4502944391024096
Epoch 154, Train Loss: 0.013187443371862173, Train Iou: 0.3697143052642483, Validation IOU: 0.429352920023184
Epoch 155, Train Loss: 0.013055845210328699, Train Iou: 0.37178820385039524, Validation IOU: 0.4207412475326525
Epoch 156, Train Loss: 0.012888838024809956, Train Iou: 0.3665205756696531, Validation IOU: 0.33174021727383224
Epoch 157, Train Loss: 0.012935860455036164, Train Iou: 0.3674126144596782, Validation IOU: 0.3659646144214752
Epoch 158, Train Loss: 0.01286708195693791, Train Iou: 0.3633187938297283, Validation IOU: 0.41076565029389744
Epoch 159, Train Loss: 0.012823243485763669, Train Iou: 0.3666629322582568, Validation IOU: 0.4105200837309749
Epoch 160, Train Loss: 0.01308503090403974, Train Iou: 0.36768406754037875, Validation IOU: 0.3315977301670543
Epoch 161, Train Loss: 0.012824204936623573, Train Iou: 0.36834379074254314, Validation IOU: 0.4049073954779851
Epoch 162, Train Loss: 0.012821975443512202, Train Iou: 0.3653675297510496, Validation IOU: 0.38859196328190604
Epoch 163, Train Loss: 0.012676671706140041, Train Iou: 0.36340874295853637, Validation IOU: 0.3897699889041464
