
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 1, Train Loss: 15.040089654922486, Train Iou: 0.9358387192007566, Validation IOU: 0.9911742938612332
Model saved
Epoch 2, Train Loss: 14.419581604003906, Train Iou: 0.9856460023655268, Validation IOU: 0.9953616776348908
Epoch 3, Train Loss: 13.944505834579468, Train Iou: 0.9902569666216673, Validation IOU: 0.9952204795452446
Epoch 4, Train Loss: 13.594747066497803, Train Iou: 0.9859174177597774, Validation IOU: 0.968214300051439
Model saved
Epoch 5, Train Loss: 13.359089756011963, Train Iou: 0.9648841628427631, Validation IOU: 0.9818890891632448
Epoch 6, Train Loss: 13.204486274719239, Train Iou: 0.9670556521156664, Validation IOU: 0.9730780534143615
Epoch 7, Train Loss: 13.080858993530274, Train Iou: 0.9735530946553237, Validation IOU: 0.9866735406377016
Epoch 8, Train Loss: 12.973403644561767, Train Iou: 0.9751934899776404, Validation IOU: 0.9859483961806834
Epoch 9, Train Loss: 12.882389211654663, Train Iou: 0.975271251102904, Validation IOU: 0.9914179844132909
Epoch 10, Train Loss: 12.798699140548706, Train Iou: 0.9758514223754334, Validation IOU: 0.9865692298309237
Epoch 11, Train Loss: 12.72909107208252, Train Iou: 0.9758736279270248, Validation IOU: 0.9886200265919338
Epoch 12, Train Loss: 12.659287452697754, Train Iou: 0.9754863133221688, Validation IOU: 0.9928456180371649
Epoch 13, Train Loss: 12.591153573989867, Train Iou: 0.97684269512852, Validation IOU: 0.9915208278642356
Epoch 14, Train Loss: 12.532755947113037, Train Iou: 0.977726415428488, Validation IOU: 0.9919780067029893
Epoch 15, Train Loss: 12.476054000854493, Train Iou: 0.9793268822749056, Validation IOU: 0.9868533276386053
Epoch 16, Train Loss: 12.429654979705811, Train Iou: 0.9794854260919903, Validation IOU: 0.9792135863019404
Epoch 17, Train Loss: 12.385257768630982, Train Iou: 0.979616553148495, Validation IOU: 0.988952091533486
Epoch 18, Train Loss: 12.344981813430786, Train Iou: 0.9793903848712346, Validation IOU: 0.9857505841661457
Epoch 19, Train Loss: 12.308700561523438, Train Iou: 0.978344568696601, Validation IOU: 0.972831939370456
Epoch 20, Train Loss: 12.275966930389405, Train Iou: 0.9788549695782802, Validation IOU: 0.9843433272154052
Epoch 21, Train Loss: 12.24428949356079, Train Iou: 0.9773680656003709, Validation IOU: 0.9839955780914877
Epoch 22, Train Loss: 12.214993524551392, Train Iou: 0.9779149249201142, Validation IOU: 0.9873378025779422
Epoch 23, Train Loss: 12.187090206146241, Train Iou: 0.9782823461614643, Validation IOU: 0.9824109399932973
Epoch 24, Train Loss: 12.159116744995117, Train Iou: 0.9784579141543948, Validation IOU: 0.9716153109518297
Epoch 25, Train Loss: 12.133424139022827, Train Iou: 0.9788618899273912, Validation IOU: 0.9843235302007662
Epoch 26, Train Loss: 12.105504941940307, Train Iou: 0.9794125599603916, Validation IOU: 0.9787612898865468
Epoch 27, Train Loss: 12.07910737991333, Train Iou: 0.979729625873859, Validation IOU: 0.98673316852659
Epoch 28, Train Loss: 12.056393194198609, Train Iou: 0.9811654981625461, Validation IOU: 0.9852314551713446
Epoch 29, Train Loss: 12.035319709777832, Train Iou: 0.9809744243979971, Validation IOU: 0.9878102311921038
Epoch 30, Train Loss: 12.014449119567871, Train Iou: 0.9827269944955823, Validation IOU: 0.9900971112752344
Epoch 31, Train Loss: 11.995959329605103, Train Iou: 0.9827857926885557, Validation IOU: 0.9909068463375386
